Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 1,4,1,0
Absentee By Mail ICC - 2,13,3,4
Absentee By Mail ICC - 3,9,9,1
Absentee By Mail ICC - 4,16,4,0
Absentee By Mail ICC - 5,16,3,0
Absentee By Mail ICC - 6,13,6,1
Absentee By Mail ICC - 7,2,1,0
Absentee By Mail ICC - 8,3,1,2
ED-Douglas ICP 2 - 0,404,47,19
ED-Douglas ICP 1 - 0,411,62,10
AV-Elections Office ICP 2 - 0,1136,103,33
AV-Elections Office ICP 1 - 0,1143,117,36
Absentee By Mail ICC - 9,6,0,1
