Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Registrars Office ICP 1 - 0,1674,987,64
ED-Screven Rec Dept ICP 1 - 0,43,39,3
ED-Greenhill Church ICP 1 - 0,197,19,6
ED-Hunters ICP 1 - 0,105,30,2
ED-Sylvania ICP 1 - 0,115,66,3
ED-Bay Branch ICP 1 - 0,236,17,6
ED-Rocky Ford ICP 1 - 0,145,25,5
ED-Cooperville Fire Station ICP 1 - 0,28,29,4
ED-Sr Citizens Center ICP 1 - 0,70,127,3
ED-Newington ICP 1 - 0,272,80,15
ED-Jackson Fire Station ICP 1 - 0,87,13,3
ED-Hiltonia ICP 1 - 0,126,75,5
ED-Jenk Hill Fire Sta ICP 1 - 0,147,77,4
ICC-Absentee By Mail - 1,25,24,0
ICC-Absentee By Mail - 6,3,3,0
ICC-Absentee By Mail - 2,28,17,0
ICC-Absentee By Mail - 3,16,30,0
ICC-Absentee By Mail - 4,14,34,0
ICC-Absentee By Mail - 5,1,12,0
ICC-Absentee By Mail - 8,1,5,0
ICC-Absentee By Mail - 7,1,5,0
ICC-Absentee By Mail - 10,3,8,0
