Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office - ICP 1 - 0,1671,554,62
AV-Glennville ICP 1 - 0,867,140,14
AV-Collins ICP 1 - 0,180,40,5
ED-Manassas ICP 1 - 0,103,27,1
ED-District V ICP 1 - 0,313,11,8
ED-Cobbtown ICP 1 - 0,216,26,2
ED-Shiloh ICP 1 - 0,92,32,3
ED-Collins ICP 1 - 0,299,47,11
ED-District II ICP 1 - 0,242,84,7
ED-East Glennville ICP 1 - 0,412,72,17
ED-District IV ICP 1 - 0,404,115,12
ICC - Absentee by Mail - 1,56,34,4
ICC - Absentee by Mail - 2,63,37,0
ICC - Absentee by Mail - 3,21,25,0
ICC - Absentee by Mail - 4,13,3,0
ICC - Absentee by Mail - 5,5,8,0
ICC - Absentee by Mail - 6,3,3,0
ICC - Absentee by Mail - 7,2,10,0
ICC - Provisional - 1,1,0,0
