Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail 1 - 1,17,17,0
ICC - Absentee By Mail 3 - 1,5,35,0
ICC - Absentee By Mail 3 - 2,4,32,1
ICC - Absentee By Mail 3 - 5,1,40,0
ICC - Absentee By Mail 3 - 4,16,33,0
ICC - Absentee By Mail 3 - 3,3,46,0
ICC - Absentee By Mail 2 - 2,8,43,0
ICC - Absentee By Mail 2 - 9,9,32,0
ICC - Absentee By Mail 2 - 21,20,25,2
ICC - Absentee By Mail 2 - 22,23,25,0
ICC - Absentee By Mail 2 - 20,7,40,1
ICC - Absentee By Mail 2 - 24,11,31,0
ICC - Absentee By Mail 2 - 19,11,11,0
ICC - Absentee By Mail 2 - 26,22,27,1
ICC - Absentee By Mail 2 - 23,3,42,0
ICC - Absentee By Mail 2 - 25,13,35,0
ICC - Absentee By Mail 2 - 18,18,27,0
ICC - Absentee By Mail 2 - 12,4,46,0
ICC - Absentee By Mail 2 - 11,10,38,0
ICC - Absentee By Mail 2 - 10,2,47,0
ICC - Absentee By Mail 2 - 13,6,38,1
ICC - Absentee By Mail 2 - 14,2,47,1
ICC - Absentee By Mail 2 - 17,8,40,0
ICC - Absentee By Mail 2 - 16,25,23,1
ICC - Absentee By Mail 2 - 15,10,30,0
ICC - Absentee By Mail 2 - 27,18,27,0
ICC - Absentee By Mail 2 - 28,4,46,0
ICC - Absentee By Mail 2 - 29,17,29,0
ICC - Absentee By Mail 2 - 40,17,25,3
ICC - Absentee By Mail 2 - 4,4,40,2
ICC - Absentee By Mail 2 - 39,22,28,1
ICC - Absentee By Mail 2 - 41,12,34,0
ICC - Absentee By Mail 2 - 5,5,43,1
ICC - Absentee By Mail 2 - 8,7,41,0
ICC - Absentee By Mail 2 - 7,16,34,0
ICC - Absentee By Mail 2 - 6,10,40,0
ICC - Absentee By Mail 2 - 38,2,17,0
ICC - Absentee By Mail 2 - 37,7,10,1
ICC - Absentee By Mail 2 - 31,5,14,1
ICC - Absentee By Mail 2 - 30,23,26,0
ICC - Absentee By Mail 2 - 3,16,32,0
ICC - Absentee By Mail 2 - 32,1,23,0
ICC - Absentee By Mail 2 - 33,80,164,5
ICC - Absentee By Mail 2 - 1,4,39,0
ICC - Absentee By Mail 2 - 35,8,18,0
ICC - Absentee By Mail 2 - 34,78,130,1
ICC - Absentee By Mail 2 - 36,16,18,4
ICC - Absentee By Mail 4 - 225,24,24,1
ICC - Absentee By Mail 4 - 226,15,30,0
ICC - Absentee By Mail 4 - 99,18,21,3
ICC - Absentee By Mail 4 - 223,17,30,0
ICC - Absentee By Mail 4 - 224,21,25,0
ICC - Absentee By Mail 4 - 222,17,31,1
ICC - Absentee By Mail 4 - 221,24,24,0
ICC - Absentee By Mail 4 - 220,27,21,0
ICC - Absentee By Mail 4 - 217,14,31,0
ICC - Absentee By Mail 4 - 218,8,41,0
ICC - Absentee By Mail 4 - 219,15,31,0
ICC - Absentee By Mail 4 - 22,8,35,1
ICC - Absentee By Mail 4 - 227,19,28,1
ICC - Absentee By Mail 4 - 228,21,25,0
ICC - Absentee By Mail 4 - 235,9,37,1
ICC - Absentee By Mail 4 - 236,14,30,3
ICC - Absentee By Mail 4 - 237,1,48,1
ICC - Absentee By Mail 4 - 238,12,35,0
ICC - Absentee By Mail 4 - 234,15,23,0
ICC - Absentee By Mail 4 - 233,14,33,2
ICC - Absentee By Mail 4 - 232,15,28,0
ICC - Absentee By Mail 4 - 229,20,28,0
ICC - Absentee By Mail 4 - 23,13,33,2
ICC - Absentee By Mail 4 - 230,25,22,0
ICC - Absentee By Mail 4 - 231,23,25,1
ICC - Absentee By Mail 4 - 216,25,18,1
ICC - Absentee By Mail 4 - 215,12,33,0
ICC - Absentee By Mail 4 - 20,5,41,0
ICC - Absentee By Mail 4 - 200,7,40,0
ICC - Absentee By Mail 4 - 201,20,27,2
ICC - Absentee By Mail 4 - 199,6,39,0
ICC - Absentee By Mail 4 - 202,18,31,0
ICC - Absentee By Mail 4 - 2,4,43,1
ICC - Absentee By Mail 4 - 198,1,42,0
ICC - Absentee By Mail 4 - 194,27,24,1
ICC - Absentee By Mail 4 - 203,17,25,0
ICC - Absentee By Mail 4 - 196,4,41,0
ICC - Absentee By Mail 4 - 195,21,26,0
ICC - Absentee By Mail 4 - 197,6,34,0
ICC - Absentee By Mail 4 - 204,11,38,0
ICC - Absentee By Mail 4 - 213,4,10,0
ICC - Absentee By Mail 4 - 214,14,22,0
ICC - Absentee By Mail 4 - 212,18,29,0
ICC - Absentee By Mail 4 - 211,15,25,1
ICC - Absentee By Mail 4 - 210,17,26,0
ICC - Absentee By Mail 4 - 209,18,29,2
ICC - Absentee By Mail 4 - 205,17,34,0
ICC - Absentee By Mail 4 - 207,11,32,0
ICC - Absentee By Mail 4 - 21,3,45,0
ICC - Absentee By Mail 4 - 206,4,45,0
ICC - Absentee By Mail 4 - 24,9,38,0
ICC - Absentee By Mail 4 - 208,21,23,0
ICC - Absentee By Mail 4 - 271,24,24,0
ICC - Absentee By Mail 4 - 239,17,33,0
ICC - Absentee By Mail 4 - 270,2,45,1
ICC - Absentee By Mail 4 - 27,5,42,1
ICC - Absentee By Mail 4 - 269,16,32,0
ICC - Absentee By Mail 4 - 268,23,25,0
ICC - Absentee By Mail 4 - 272,22,25,0
ICC - Absentee By Mail 4 - 273,1,46,0
ICC - Absentee By Mail 4 - 267,9,37,2
ICC - Absentee By Mail 4 - 264,25,24,1
ICC - Absentee By Mail 4 - 265,16,32,0
ICC - Absentee By Mail 4 - 266,2,42,0
ICC - Absentee By Mail 4 - 274,23,23,1
ICC - Absentee By Mail 4 - 284,9,29,0
ICC - Absentee By Mail 4 - 283,25,20,1
ICC - Absentee By Mail 4 - 282,19,29,0
ICC - Absentee By Mail 4 - 285,4,43,1
ICC - Absentee By Mail 4 - 275,7,43,0
ICC - Absentee By Mail 4 - 28,19,24,0
ICC - Absentee By Mail 4 - 280,26,22,0
ICC - Absentee By Mail 4 - 277,7,39,0
ICC - Absentee By Mail 4 - 281,9,38,0
ICC - Absentee By Mail 4 - 276,24,21,0
ICC - Absentee By Mail 4 - 263,6,42,0
ICC - Absentee By Mail 4 - 247,2,44,0
ICC - Absentee By Mail 4 - 278,22,28,1
ICC - Absentee By Mail 4 - 262,4,41,1
ICC - Absentee By Mail 4 - 279,6,40,0
ICC - Absentee By Mail 4 - 248,23,25,0
ICC - Absentee By Mail 4 - 25,19,24,1
ICC - Absentee By Mail 4 - 246,16,31,1
ICC - Absentee By Mail 4 - 245,15,30,0
ICC - Absentee By Mail 4 - 249,8,40,1
ICC - Absentee By Mail 4 - 244,21,26,0
ICC - Absentee By Mail 4 - 241,14,34,0
ICC - Absentee By Mail 4 - 242,17,29,2
ICC - Absentee By Mail 4 - 240,22,22,0
ICC - Absentee By Mail 4 - 243,6,39,1
ICC - Absentee By Mail 4 - 26,10,28,0
ICC - Absentee By Mail 4 - 251,10,35,1
ICC - Absentee By Mail 4 - 260,12,35,0
ICC - Absentee By Mail 4 - 250,19,30,1
ICC - Absentee By Mail 4 - 259,0,43,1
ICC - Absentee By Mail 4 - 257,25,21,0
ICC - Absentee By Mail 4 - 261,1,39,0
ICC - Absentee By Mail 4 - 252,20,23,1
ICC - Absentee By Mail 4 - 256,15,33,1
ICC - Absentee By Mail 4 - 258,6,43,0
ICC - Absentee By Mail 4 - 193,9,34,0
ICC - Absentee By Mail 4 - 253,22,26,1
ICC - Absentee By Mail 4 - 192,12,31,1
ICC - Absentee By Mail 4 - 254,21,24,0
ICC - Absentee By Mail 4 - 255,6,44,0
ICC - Absentee By Mail 4 - 13,11,39,0
ICC - Absentee By Mail 4 - 130,7,40,0
ICC - Absentee By Mail 4 - 131,6,39,0
ICC - Absentee By Mail 4 - 132,19,27,0
ICC - Absentee By Mail 4 - 129,17,27,2
ICC - Absentee By Mail 4 - 128,4,42,0
ICC - Absentee By Mail 4 - 127,5,37,2
ICC - Absentee By Mail 4 - 123,9,40,0
ICC - Absentee By Mail 4 - 124,3,46,0
ICC - Absentee By Mail 4 - 125,6,40,0
ICC - Absentee By Mail 4 - 126,3,45,0
ICC - Absentee By Mail 4 - 133,19,29,1
ICC - Absentee By Mail 4 - 134,26,21,1
ICC - Absentee By Mail 4 - 141,8,39,0
ICC - Absentee By Mail 4 - 142,17,29,1
ICC - Absentee By Mail 4 - 143,15,30,1
ICC - Absentee By Mail 4 - 144,21,28,0
ICC - Absentee By Mail 4 - 140,14,31,0
ICC - Absentee By Mail 4 - 14,4,42,0
ICC - Absentee By Mail 4 - 139,16,33,0
ICC - Absentee By Mail 4 - 135,2,47,0
ICC - Absentee By Mail 4 - 136,6,40,1
ICC - Absentee By Mail 4 - 137,5,39,0
ICC - Absentee By Mail 4 - 138,31,19,0
ICC - Absentee By Mail 4 - 122,1,49,0
ICC - Absentee By Mail 4 - 121,22,22,0
ICC - Absentee By Mail 4 - 106,24,17,4
ICC - Absentee By Mail 4 - 107,23,26,0
ICC - Absentee By Mail 4 - 108,27,22,0
