Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,21,24,0
ICC - Absentee By Mail - 2,28,14,0
ICC - Absentee By Mail - 3,19,22,1
ICC - Absentee By Mail - 4,24,21,2
ICC - Absentee By Mail - 5,16,32,0
ICC - Absentee By Mail - 6,15,32,0
ICC - Absentee By Mail - 7,23,23,0
ICC - Absentee By Mail - 8,13,28,1
ICC - Absentee By Mail - 9,1,2,0
ICC - Absentee By Mail - 10,24,22,0
ICC - Absentee By Mail - 11,25,20,1
ICC - Absentee By Mail - 12,25,21,1
ICC - Absentee By Mail - 13,27,16,0
ICC - Absentee By Mail - 14,9,8,0
ICC - Absentee By Mail - 15,9,17,0
ICC - Absentee By Mail - 16,3,1,0
ICC - Absentee By Mail - 17,3,19,3
ED-Salem ICP 1 - 0,22,99,2
AV-Elections Office ICP 1 - 0,2229,790,103
AV-Elections Office ICP 2 - 0,2140,862,76
ED-Town ICP 1 - 0,243,121,13
ED-Town ICP 2 - 0,438,265,35
ED-Yatesville ICP 1 - 0,432,76,14
ICC - Absentee By Mail - 18,6,15,0
ED-Redbone ICP 2 - 0,509,97,19
ED-Redbone ICP 1 - 0,579,116,36
ICC - Provisional - 1,0,2,0
ICC - Provisional - 2,1,0,0
ICC - Absentee By Mail - 19,0,1,0
