Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,2,1,0
ICC-Absentee by Mail - 2,1,0,0
ICC-Absentee by Mail - 3,29,20,1
ICC-Absentee by Mail - 4,26,15,3
ICC-Absentee by Mail - 5,16,6,0
ICC-Absentee by Mail - 6,28,15,3
ICC-Absentee by Mail - 7,30,17,0
ICC-Absentee by Mail - 8,21,15,0
ICC-Absentee by Mail - 9,17,22,1
ICC-Absentee by Mail - 10,20,12,0
ICC-Absentee by Mail - 11,21,17,0
ICC-Absentee by Mail - 12,9,23,2
ICC-Absentee by Mail - 13,20,6,1
ICC-Absentee by Mail - 14,20,14,0
ICC-Absentee by Mail - 15,17,9,0
ICC-Absentee by Mail - 16,14,10,0
ICC-Absentee by Mail - 17,33,12,0
ICC-Absentee by Mail - 18,21,12,0
ICC-Absentee by Mail - 19,18,14,0
ICC-Absentee by Mail - 20,32,10,0
ICC-Absentee by Mail - 21,27,12,0
ICC-Absentee by Mail - 22,20,22,1
ICC-Absentee by Mail - 23,19,17,4
ICC-Absentee by Mail - 24,22,4,0
ICC-Absentee by Mail - 25,25,12,0
ICC-Absentee by Mail - 26,20,19,3
ICC-Absentee by Mail - 27,19,20,0
ICC-Absentee by Mail - 28,29,15,1
ICC-Absentee by Mail - 29,29,17,0
ICC-Absentee by Mail - 30,25,20,1
ICC-Absentee by Mail - 31,30,15,2
ICC-Absentee by Mail - 32,22,14,2
ICC-Absentee by Mail - 33,24,9,1
ICC-Absentee by Mail - 34,37,9,0
ICC-Absentee by Mail - 35,18,20,1
ICC-Absentee by Mail - 36,23,19,1
ICC-Absentee by Mail - 37,25,8,0
ICC-Absentee by Mail - 38,23,18,0
ICC-Absentee by Mail - 39,20,15,2
ICC-Absentee by Mail - 40,19,26,0
ICC-Absentee by Mail - 41,21,10,1
ICC-Absentee by Mail - 42,24,16,1
ICC-Absentee by Mail - 43,17,15,0
ICC-Absentee by Mail - 44,16,11,0
ICC-Absentee by Mail - 45,22,18,0
ICC-Absentee by Mail - 46,17,16,0
ICC-Absentee by Mail - 47,1,5,0
ICC-Absentee by Mail - 48,16,19,0
ICC-Absentee by Mail - 49,17,22,0
ICC-Absentee by Mail - 50,17,21,1
ICC-Absentee by Mail - 51,14,20,3
ICC-Absentee by Mail - 52,25,8,0
ICC-Absentee by Mail - 53,1,4,0
ED-Between  ICP 1 - 0,1110,156,61
ED-Bay Creek  ICP 1 - 0,588,101,27
ED-Walnut Grove  ICP 1 - 0,611,84,30
ED-Bold Springs  ICP 1 - 0,1209,171,67
ED-Tara  ICP 1 - 0,427,267,25
ED-Gratis  ICP 1 - 0,421,41,36
ED-Jersey  ICP 1 - 0,673,50,33
ED-Broken Arrow  ICP 1 - 0,830,116,36
ED-Whatley  ICP 1 - 0,375,51,13
ED-South Monroe  ICP 1 - 0,479,160,25
ED-Blasingame  ICP 1 - 0,422,24,14
ED-W Monroe  ICP 1 - 0,446,69,17
ED-North Monroe  ICP 1 - 0,459,356,27
ED-Good Hope  ICP 1 - 0,830,78,31
ED-West Walton  ICP 1 - 0,652,166,37
ED-West Walton  ICP 2 - 0,160,39,12
ED-Loganville South  ICP 1 - 0,478,194,34
ED-Walker Park  ICP 1 - 0,874,110,57
ED-Mountain  ICP 1 - 0,489,63,25
ED-Loganville North  ICP 2 - 0,339,110,25
ED-Loganville North  ICP 1 - 0,324,122,18
ED-E Monroe  ICP 1 - 0,546,244,28
ED-Social Circle  ICP 1 - 0,748,191,40
ICC-Absentee by Mail - 54,10,9,0
AV-Social Circle City Hall  ICP 2 - 0,1327,426,50
AV-Meridian Park  ICP 2 - 0,4264,1448,187
AV-Elections Office  ICP 1 - 0,3358,1050,121
AV-Meridian Park  ICP 1 - 0,3874,1423,188
AV-Elections Office  ICP 2 - 0,3919,1134,172
ICC-Absentee by Mail - 55,3,5,0
ICC-Provisional - 1,8,4,0
