Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee by Mail - 1,20,22,3
ICC - Absentee by Mail - 2,13,19,1
ICC - Absentee by Mail - 3,15,21,1
AV-Elections Office - ICP 1 - 0,1427,834,64
ED-Rye Patch_Oak Dale ICP 2 - 0,314,121,16
ED-Beards Creek ICP 1 - 0,327,97,11
ED-Tibet ICP 1 - 0,196,26,6
ED-Alma Flournoy ICP 1 - 0,25,1,1
ED-South Ludowici ICP 1 - 0,199,93,10
ED-North Ludowici ICP 1 - 0,199,96,15
ED-Faith Baptist Annex ICP 1 - 0,108,37,4
ICC - Absentee by Mail - 4,2,2,0
ICC - Provisional - 2,1,1,0
ICC - Absentee by Mail - 5,3,2,0
