Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,6613,1145,323
ED-Appalachian ICP 1 - 0,326,37,19
ED-Jasper ICP 1 - 0,388,66,13
ED-Jerusalem ICP 1 - 0,469,33,25
ED-Ludville ICP 1 - 0,259,14,18
ED-Talking Rock ICP 1 - 0,423,27,27
ED-Refuge ICP 1 - 0,417,42,23
ED-Hill ICP 1 - 0,458,42,32
ED-Yellow Creek ICP 1 - 0,713,95,46
ED-Nelson ICP 1 - 0,391,44,27
ED-Tate ICP 1 - 0,576,47,29
ED-Sharptop ICP 1 - 0,562,80,42
ED-Hinton ICP 1 - 0,317,25,15
ICC - Absentee By Mail - 1,33,14,2
ICC - Absentee By Mail - 2,24,24,1
ICC - Absentee By Mail - 3,61,21,0
ICC - Absentee By Mail - 4,14,5,0
ICC - Absentee By Mail - 5,8,7,0
ICC - Absentee By Mail - 6,3,2,1
ICC - Absentee By Mail - 7,12,7,0
ICC - Absentee By Mail - 8,16,14,0
ICC - Absentee By Mail - 9,11,6,1
ICC - Absentee By Mail - 10,33,16,0
ICC - Absentee By Mail - 11,11,3,0
ICC - Absentee By Mail - 12,24,25,1
ICC - Absentee By Mail - 13,28,21,0
ICC - Absentee By Mail - 14,19,11,0
ICC - Absentee By Mail - 15,32,16,1
ICC - Absentee By Mail - 16,26,22,0
ICC - Absentee By Mail - 17,2,0,0
ICC - Absentee By Mail - 18,33,17,0
ICC - Absentee By Mail - 19,4,2,0
ICC - Absentee By Mail - 20,3,3,0
ICC - Absentee By Mail - 21,4,2,1
ICC - Provisional - 1,2,0,0
ICC - Absentee By Mail - 25,1,0,1
ICC - Absentee By Mail - 26,0,1,0
