Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 4,17,8,0
ICC - Absentee By Mail - 2,2,0,0
ICC - Absentee By Mail - 3,1,4,0
ICC - Absentee By Mail - 1,10,6,1
ICC - Absentee By Mail - 5,16,7,1
ICC - Absentee By Mail - 6,16,8,1
ICC - Absentee By Mail - 7,13,10,0
ICC - Absentee By Mail - 8,15,9,1
ICC - Absentee By Mail - 9,13,11,0
ICC - Absentee By Mail - 10,18,5,1
ICC - Absentee By Mail - 11,21,1,2
ICC - Absentee By Mail - 12,13,12,0
ICC - Absentee By Mail - 13,19,5,1
ICC - Absentee By Mail - 14,15,9,0
ICC - Absentee By Mail - 15,14,9,2
ICC - Absentee By Mail - 16,16,7,0
ICC - Absentee By Mail - 17,17,7,0
ICC - Absentee By Mail - 18,16,7,1
ICC - Absentee By Mail - 19,17,7,0
ICC - Absentee By Mail - 20,16,7,2
ICC - Absentee By Mail - 21,16,9,0
ICC - Absentee By Mail - 22,14,11,0
ICC - Absentee By Mail - 23,13,12,0
ICC - Absentee By Mail - 24,11,12,0
ICC - Absentee By Mail - 25,11,14,1
ICC - Absentee By Mail - 26,18,6,1
ICC - Absentee By Mail - 27,12,14,0
ICC - Absentee By Mail - 28,8,16,1
ICC - Absentee By Mail - 29,13,10,1
ICC - Absentee By Mail - 30,20,5,0
ICC - Absentee By Mail - 31,19,4,2
ICC - Absentee By Mail - 32,16,8,0
ICC - Absentee By Mail - 33,17,7,0
ICC - Absentee By Mail - 34,18,6,0
ICC - Absentee By Mail - 35,18,7,0
ICC - Absentee By Mail - 36,16,9,0
ICC - Absentee By Mail - 37,11,13,1
ICC - Absentee By Mail - 39,1,1,0
AV-Westside ICP 2 - 0,2039,463,72
AV-Westside ICP 1 - 0,2083,407,70
AV-Ringgold ICP 2 - 0,3561,693,121
AV-Ringgold ICP 1 - 0,3526,723,140
ED-Ringgold ICP 1 - 0,1019,187,57
ED-Blackstock ICP 1 - 0,487,40,23
ED-Ft Oglethorpe ICP 1 - 0,281,69,15
ED-Ft Oglethorpe ICP 2 - 0,308,66,15
ED-Chambers ICP 1 - 0,612,73,27
ED-Poplar Springs ICP 2 - 0,336,45,20
ED-Poplar Springs ICP 1 - 0,375,61,24
ED-Woodstation ICP 1 - 0,779,85,36
ED-Lakeview ICP 1 - 0,430,104,15
ED-Boynton ICP 2 - 0,241,43,14
ED-Boynton ICP 1 - 0,817,140,34
ED-Westside ICP 1 - 0,70,17,2
ED-Westside ICP 2 - 0,572,130,39
ED-Catoosa Keith ICP 1 - 0,622,74,26
ED-Graysville ICP 1 - 0,268,61,16
ED-Graysville ICP 2 - 0,544,118,35
ICC - Absentee By Mail - 40,2,1,0
ICC - Provisional - 1,13,1,1
