Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail - 1,16,4,0
Absentee By Mail - 2,24,21,2
Absentee By Mail - 3,23,27,0
Absentee By Mail - 4,22,27,1
Absentee By Mail - 5,28,22,0
Absentee By Mail - 6,18,29,1
Absentee By Mail - 7,19,29,0
Absentee By Mail - 8,22,28,0
Absentee By Mail - 9,21,27,2
Absentee By Mail - 10,13,6,5
Election Day Central ICC - 1,5,1,0
Absentee By Mail - 11,0,5,0
Provisional ICC - 1,3,1,0
AV-Elections Office ICP 1 - 0,2723,1301,82
ED-Higdon ICP 1 - 0,376,93,12
ED-Cairo 5th District ICP 1 - 0,313,134,8
ED-Cairo 4th District ICP 1 - 0,61,239,4
ED-Blowing Cave ICP 1 - 0,367,27,7
ED-Midway ICP 1 - 0,406,55,13
ED-Pine Park ICP 1 - 0,200,57,9
ED-Spence ICP 1 - 0,246,12,10
ED-Woodland ICP 1 - 0,438,32,10
ED-Whigham ICP 1 - 0,451,61,7
