Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,31,14,2
ICC-Absentee by Mail - 2,34,10,0
ICC-Absentee by Mail - 3,38,9,0
ICC-Absentee by Mail - 4,10,4,1
ICC-Absentee by Mail - 5,35,14,0
ICC-Absentee by Mail - 6,31,16,0
ICC-Absentee by Mail - 7,24,25,1
ICC-Absentee by Mail - 8,41,9,0
ICC-Absentee by Mail - 9,34,13,3
ICC-Absentee by Mail - 10,44,5,0
ICC-Absentee by Mail - 11,31,16,0
ICC-Absentee by Mail - 12,37,12,0
ICC-Absentee by Mail - 13,35,11,1
ICC-Absentee by Mail - 14,33,10,1
ICC-Absentee by Mail - 15,8,8,0
AV-Mauney Srvc Building ICP 1 - 0,2737,552,147
AV-Mauney Srvc Building ICP 2 - 0,2852,418,137
ED-Tesnatee ICP 1 - 0,240,26,10
ED-Robertstown-Helen ICP 1 - 0,230,33,8
ED-Blue Ridge ICP 1 - 0,240,24,12
ED-Shoal Creek ICP 1 - 0,565,41,38
ICC-Absentee by Mail - 16,5,1,0
ED-Mossy Creek ICP 1 - 0,305,24,16
ED-Mossy Creek ICP 2 - 0,491,30,30
ED-Blue Creek ICP 1 - 0,500,70,37
ED-White Creek ICP 1 - 0,431,22,28
ED-Mt Yonah ICP 1 - 0,376,40,24
ED-Mt Yonah ICP 2 - 0,328,39,23
ED-Town Creek ICP 1 - 0,392,25,31
ED-Nacoochee ICP 1 - 0,270,67,23
ICC-Absentee by Mail - 17,2,1,1
ICC-Provisional - 1,1,0,0
ICC-Provisional - 2,1,0,0
ICC-Absentee by Mail - 18,2,0,0
