Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Registrars Office ICP 1 - 0,5689,1118,265
ICC - Absentee By Mail - 1,28,15,2
ICC - Absentee By Mail - 2,30,14,4
ICC - Absentee By Mail - 3,31,17,1
ED-Roy Road ICP 1 - 0,384,46,28
ED-Cherry Log ICP 1 - 0,292,51,9
ED-Town Creek ICP 1 - 0,372,45,17
ED-Ellijay Northeast ICP 1 - 0,319,30,25
ICC - Absentee By Mail - 4,30,19,0
ICC - Absentee By Mail - 5,11,2,0
ED-Cartecay ICP 1 - 0,439,34,21
ICC - Absentee By Mail - 6,34,14,1
ED-Yukon ICP 1 - 0,403,36,23
ED-Boardtown ICP 1 - 0,364,42,19
ICC - Absentee By Mail - 7,30,17,2
ED-Tails Creek ICP 1 - 0,458,43,30
ED-Ellijay North ICP 1 - 0,357,39,24
ICC - Absentee By Mail - 8,24,25,0
ED-Mountaintown ICP 1 - 0,327,46,15
ICC - Absentee By Mail - 9,22,20,2
ICC - Absentee By Mail - 10,26,6,1
ED-Ellijay South ICP 1 - 0,473,80,30
ICC - Absentee By Mail - 11,24,11,2
ICC - Absentee By Mail - 12,29,17,1
ED-East Ellijay ICP 1 - 0,317,39,14
ICC - Absentee By Mail - 13,24,10,0
ICC - Absentee By Mail - 14,32,16,1
ICC - Absentee By Mail - 15,14,15,2
ED-Leaches ICP 1 - 0,607,70,45
ICC - Absentee By Mail - 16,1,1,0
ICC - Absentee By Mail - 17,38,11,1
ICC - Absentee By Mail - 18,7,0,1
ICC - Absentee By Mail - 19,9,7,2
ICC - Absentee By Mail - 20,4,1,0
ICC - Absentee By Mail - 21,15,14,0
ICC - Absentee By Mail - 22,16,6,1
ICC - Provisional - 1,5,0,0
ICC - Provisional - 2,5,1,0
ICC - Absentee By Mail - 23,5,5,1
