Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,15,4,0
ICC-Absentee by Mail - 3,14,7,0
ICC-Absentee by Mail - 20,48,9,0
ICC-Absentee by Mail - 2,12,4,0
ICC-Absentee by Mail - 4,29,1,1
ICC-Absentee by Mail - 5,33,14,2
ICC-Absentee by Mail - 8,29,16,0
ICC-Absentee by Mail - 7,29,11,3
ICC-Absentee by Mail - 6,32,11,2
ICC-Absentee by Mail - 19,26,16,1
ICC-Absentee by Mail - 18,38,17,0
ICC-Absentee by Mail - 12,26,12,0
ICC-Absentee by Mail - 11,34,12,0
ICC-Absentee by Mail - 10,29,20,0
ICC-Absentee by Mail - 13,33,14,0
ICC-Absentee by Mail - 14,31,19,0
ICC-Absentee by Mail - 17,38,10,2
ICC-Absentee by Mail - 16,37,10,1
ICC-Absentee by Mail - 15,24,14,1
ICC-Absentee by Mail - 9,33,11,0
ICC-Absentee by Mail - 21,4,5,0
ICC-Absentee by Mail - 22,9,5,1
ICC-Absentee by Mail - 25,17,8,0
ICC-Absentee by Mail - 24,9,2,1
ICC-Absentee by Mail - 23,9,6,0
ICC-Absentee by Mail - 26,9,4,0
AV-Ruby Fulbright Aquatic Ctr ICP 1 - 0,4570,730,203
AV-Ruby Fulbright Aquatic Ctr ICP 2 - 0,4540,721,216
ICC-Absentee by Mail - 27,4,0,0
ICC-Absentee by Mail - 28,1,1,0
ED-Demorest ICP 1 - 0,474,64,27
ED-Demorest ICP 2 - 0,218,30,13
ED-Habersham North ICP 2 - 0,547,60,32
ED-Habersham North ICP 1 - 0,542,50,42
ED-Amys Creek ICP 1 - 0,359,40,21
ED-Town of Mount Airy ICP 1 - 0,172,21,8
ED-Mud Creek ICP 1 - 0,592,48,29
ED-Mud Creek ICP 2 - 0,221,24,12
ED-Habersham South ICP 1 - 0,443,93,20
ED-Habersham South ICP 2 - 0,512,122,42
ICC-Absentee by Mail - 29,1,2,0
ICC-Provisional - 1,6,1,1
