Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,26,22,0
ICC - Absentee By Mail - 4,31,11,1
ICC - Absentee By Mail - 5,16,33,0
ICC - Absentee By Mail - 6,28,20,1
ICC - Absentee By Mail - 7,32,17,0
ICC - Absentee By Mail - 8,35,11,2
ICC - Absentee By Mail - 3,30,17,0
ICC - Absentee By Mail - 2,24,22,2
ICC - Absentee By Mail - 15,15,11,0
ICC - Absentee By Mail - 10,39,9,0
ICC - Absentee By Mail - 11,35,13,1
ICC - Absentee By Mail - 12,27,19,3
ICC - Absentee By Mail - 13,27,21,0
ICC - Absentee By Mail - 14,31,17,1
ICC - Absentee By Mail - 9,26,23,1
ICC - Absentee By Mail - 20,34,12,3
ICC - Absentee By Mail - 19,31,19,0
ICC - Absentee By Mail - 18,28,21,0
ICC - Absentee By Mail - 17,28,14,3
ICC - Absentee By Mail - 16,34,14,1
AV-Courthouse ICP 1 - 0,3813,1214,147
AV-Courthouse ICP 2 - 0,3814,1200,137
ICC - Absentee By Mail - 21,13,5,0
ED-3A ICP 1 - 0,428,138,15
ED-5A ICP 1 - 0,140,194,17
ED-GL ICP 1 - 0,500,141,14
ED-1A ICP 1 - 0,185,174,13
ED-2A ICP 1 - 0,533,149,26
ED-DG ICP 1 - 0,751,208,35
ED-TR ICP 1 - 0,504,36,19
ED-UT ICP 1 - 0,399,42,20
ED-AN ICP 1 - 0,265,140,13
ED-4A ICP 1 - 0,462,138,22
ED-FI ICP 1 - 0,484,98,21
ED-CO ICP 1 - 0,508,67,23
ED-6A ICP 1 - 0,80,174,8
ED-ES ICP 1 - 0,287,93,7
ED-CA ICP 1 - 0,521,73,18
ED-TH ICP 1 - 0,993,127,47
ED-MC ICP 1 - 0,589,48,21
ED-VA ICP 1 - 0,868,132,45
ED-VA ICP 2 - 0,515,86,24
ED-TI ICP 1 - 0,229,24,18
ED-NI ICP 1 - 0,750,76,27
ICC - Absentee By Mail - 23,2,4,0
ICC - Absentee By Mail - 22,32,19,2
ED-PG ICP 2 - 0,649,132,24
ED-PG ICP 1 - 0,299,65,9
ED-WS ICP 1 - 0,694,78,38
ED-LT ICP 1 - 0,399,27,2
ICC - Absentee By Mail - 24,0,2,0
ICC - Provisional - 1,5,1,1
ICC - Provisional - 2,13,7,0
