Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ED-Cuthbert-Courthouse ICP 1 - 0,191,152,8
AV-Elections Office ICP 1 - 0,674,602,25
ED-Cuthbert ICP 1 - 0,6,52,1
ED-Springvale ICP 1 - 0,27,33,2
Absentee By Mail ICC - 1,8,27,0
Absentee By Mail ICC - 2,5,27,0
Absentee By Mail ICC - 3,2,2,0
Absentee By Mail ICC - 4,8,29,0
Absentee By Mail ICC - 5,8,29,0
Absentee By Mail ICC - 6,3,4,0
Absentee By Mail ICC - 7,2,12,0
Absentee By Mail ICC - 8,6,18,0
Absentee By Mail ICC - 9,5,22,0
Absentee By Mail ICC - 10,1,1,0
Absentee By Mail ICC - 11,0,2,0
Absentee By Mail ICC - 12,0,1,0
Absentee By Mail ICC - 13,0,1,0
Absentee By Mail ICC - 14,0,7,0
ED-Shellman ICP 1 - 0,187,126,6
ED-Benevolence ICP 1 - 0,58,32,2
ED-Coleman ICP 1 - 0,54,31,2
Provisional ICC - 1,0,0,0
Absentee By Mail ICC - 15,0,1,0
