Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Av-County Admin Bldg ICP 3 - 0,2978,454,128
AV-County Admin Bldg ICP 1 - 0,188,52,14
AV-County Admin Bldg ICP 2 - 0,4238,666,224
ICC - Absentee By Mail - 14,15,4,1
ICC - Absentee By Mail - 13,24,16,1
ICC - Absentee By Mail - 9,33,13,0
ICC - Absentee By Mail - 11,31,14,1
ICC - Absentee By Mail - 12,29,18,0
ICC - Absentee By Mail - 10,26,19,2
ICC - Absentee By Mail - 2,35,13,0
ICC - Absentee By Mail - 15,33,12,3
ICC - Absentee By Mail - 8,14,2,1
ICC - Absentee By Mail - 3,13,7,0
ICC - Absentee By Mail - 7,29,15,4
ICC - Absentee By Mail - 6,33,14,1
ICC - Absentee By Mail - 5,36,8,2
ICC - Absentee By Mail - 4,14,2,0
ICC - Absentee By Mail - 1,26,22,0
ED-Central ICP 1 - 0,704,56,51
ED-Central ICP 2 - 0,719,73,53
ED-West ICP 2 - 0,246,31,16
ED-West ICP 1 - 0,330,41,17
ED-East ICP 1 - 0,832,104,59
ED-East ICP 2 - 0,777,117,51
ICC - Absentee By Mail - 16,3,6,1
ICC - Provisional - 1,1,1,0
ICC - Absentee By Mail - 18,1,4,0
ICC - Absentee By Mail - 17,15,3,2
