Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ED-Brewers  ICP 1 - 0,965,235,42
ED-Gum Creek  ICP 1 - 0,803,186,36
ED-Oxford  ICP 1 - 0,551,181,28
ED-Newborn  ICP 1 - 0,353,60,17
ED-Livingston  ICP 1 - 0,255,466,30
ED-Brick Store  ICP 1 - 0,781,159,19
AV-Town  ICP 1 - 0,2849,4704,162
AV-Town  ICP 2 - 0,2381,3833,112
AV-Prospect UMC  ICP 2 - 0,1469,2401,82
AV-Prospect UMC  ICP 1 - 0,1429,2341,71
ED-Fairview  ICP 1 - 0,69,377,7
ED-Rocky Plains  ICP 2 - 0,251,141,18
ED-Stansells  ICP 1 - 0,111,309,8
ED-Alcovy  ICP 1 - 0,272,149,15
ED-Alcovy  ICP 2 - 0,389,230,22
ED-Rocky Plains  ICP 1 - 0,297,154,25
ED-Stansells  ICP 2 - 0,117,302,8
ED-Mansfield  ICP 1 - 0,713,50,24
ED-Cedar Shoals  ICP 1 - 0,280,270,19
ED-City Pond  ICP 1 - 0,167,160,12
ED-Covington Mills  ICP 1 - 0,347,296,22
ED-Beaverdam  ICP 1 - 0,83,267,5
ED-Beaverdam  ICP 2 - 0,130,423,8
ED-Almon  ICP 1 - 0,278,579,26
ED-Crowell  ICP 2 - 0,13,65,4
ED-Crowell  ICP 1 - 0,94,489,17
ED-Buck Creek  ICP 1 - 0,169,162,12
ED-Buck Creek  ICP 2 - 0,223,175,16
ED-Town  ICP 2 - 0,79,180,13
ED-Town  ICP 1 - 0,88,172,12
ED-Leguinn  ICP 1 - 0,613,131,32
ED-Hub  ICP 1 - 0,837,120,23
ED-Downs  ICP 1 - 0,318,290,27
ED-Downs  ICP 2 - 0,186,187,12
ICC-Absentee by Mail - 2,28,71,0
ICC-Absentee by Mail - 21,29,70,0
ICC-Absentee by Mail - 9,42,56,1
ICC-Absentee by Mail - 23,10,16,1
ICC-Absentee by Mail - 18,20,77,1
ICC-Absentee by Mail - 17,41,56,1
ICC-Absentee by Mail - 10,27,72,1
ICC-Absentee by Mail - 14,34,64,2
ICC-Absentee by Mail - 25,32,65,2
ICC-Absentee by Mail - 26,23,76,0
ICC-Absentee by Mail - 5,27,72,1
ICC-Absentee by Mail - 8,32,66,1
ICC-Absentee by Mail - 34,7,15,0
ICC-Absentee by Mail - 33,16,28,1
ICC-Absentee by Mail - 27,24,72,2
ICC-Absentee by Mail - 29,40,58,1
ICC-Absentee by Mail - 1,28,70,0
ICC-Absentee by Mail - 30,25,71,1
ICC-Absentee by Mail - 31,22,73,1
ICC-Absentee by Mail - 28,39,59,1
ICC-Absentee by Mail - 20,24,73,1
ICC-Absentee by Mail - 19,20,78,1
ICC-Absentee by Mail - 12,24,70,1
ICC-Absentee by Mail - 7,38,61,0
ICC-Absentee by Mail - 11,29,69,0
ICC-Absentee by Mail - 32,27,72,1
ICC-Absentee by Mail - 15,32,59,0
ICC-Absentee by Mail - 13,22,76,0
ICC-Absentee by Mail - 24,37,62,0
ICC-Absentee by Mail - 16,19,47,0
ICC-Absentee by Mail - 6,17,78,3
ICC-Absentee by Mail - 35,14,27,3
ICC-Absentee by Mail - 4,28,67,4
ICC-Absentee by Mail - 22,32,65,2
ICC-Absentee by Mail - 3,31,67,1
ICC-Provisional - 1,2,4,1
ICC-Absentee by Mail - 36,0,1,0
