Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail 2 - 21,12,13,0
ICC - Absentee By Mail 2 - 23,17,7,1
ICC - Absentee By Mail 2 - 9,13,11,0
ICC - Absentee By Mail 2 - 24,14,9,2
ICC - Absentee By Mail 2 - 22,13,10,0
ICC - Absentee By Mail 2 - 25,20,4,1
ICC - Absentee By Mail 2 - 26,14,10,1
ICC - Absentee By Mail 2 - 29,7,17,1
ICC - Absentee By Mail 2 - 28,10,14,1
ICC - Absentee By Mail 2 - 27,9,16,0
ICC - Absentee By Mail 2 - 20,10,15,0
ICC - Absentee By Mail 2 - 2,9,16,0
ICC - Absentee By Mail 2 - 19,13,12,0
ICC - Absentee By Mail 2 - 12,14,10,1
ICC - Absentee By Mail 2 - 11,9,15,0
ICC - Absentee By Mail 2 - 10,21,4,0
ICC - Absentee By Mail 2 - 13,13,11,0
ICC - Absentee By Mail 2 - 14,14,11,0
ICC - Absentee By Mail 2 - 15,12,11,1
ICC - Absentee By Mail 2 - 18,8,11,4
ICC - Absentee By Mail 2 - 17,15,8,0
ICC - Absentee By Mail 2 - 16,16,9,0
ICC - Absentee By Mail 2 - 3,5,15,2
ICC - Absentee By Mail 2 - 30,16,7,1
ICC - Absentee By Mail 2 - 44,19,5,0
ICC - Absentee By Mail 2 - 43,12,10,3
ICC - Absentee By Mail 2 - 42,16,6,1
ICC - Absentee By Mail 2 - 45,16,9,0
ICC - Absentee By Mail 2 - 46,14,10,0
ICC - Absentee By Mail 2 - 5,12,13,0
ICC - Absentee By Mail 2 - 8,12,13,0
ICC - Absentee By Mail 2 - 7,10,15,0
ICC - Absentee By Mail 2 - 6,17,7,0
ICC - Absentee By Mail 2 - 41,11,14,0
ICC - Absentee By Mail 2 - 40,12,12,1
ICC - Absentee By Mail 2 - 4,14,9,2
ICC - Absentee By Mail 2 - 33,10,15,0
ICC - Absentee By Mail 2 - 32,11,13,0
ICC - Absentee By Mail 2 - 31,11,13,1
ICC - Absentee By Mail 2 - 34,16,9,0
ICC - Absentee By Mail 2 - 35,12,11,0
ICC - Absentee By Mail 2 - 36,17,7,1
ICC - Absentee By Mail 2 - 39,10,14,1
ICC - Absentee By Mail 2 - 37,21,3,1
ICC - Absentee By Mail 2 - 1,16,9,0
ICC - Absentee By Mail 2 - 38,11,12,0
AV-Hampton Park Library ICP 2 - 0,3718,816,194
AV-Hampton Park Library ICP 1 - 0,3922,881,201
AV-Elections Office ICP 1 - 0,6174,1832,317
AV-Elections Office ICP 2 - 0,5496,1664,251
AV-Elections Office ICP 3 - 0,4952,1442,240
AV-Midway Park Comm Bldg ICP 2 - 0,4872,1692,235
AV-Midway Park Comm Bldg ICP 1 - 0,4617,1626,199
AV-Sharon Springs Park Comm Bldg ICP 1 - 0,5640,2639,247
AV-Sharon Springs Park Comm Bldg ICP 3 - 0,609,375,36
AV-Sharon Springs Park Comm Bldg ICP 2 - 0,5958,2730,244
ED-01 Big Creek ICP 1 - 0,462,235,27
ED-01 Big Creek ICP 2 - 0,618,289,37
ED-07 Cumming ICP 2 - 0,400,153,41
ED-07 Cumming ICP 1 - 0,321,116,24
ED-08 Mashburn ICP 2 - 0,423,117,28
ED-08 Mashburn ICP 1 - 0,417,110,29
ED-38 Daves Creek ICP 1 - 0,416,194,23
ED-38 Daves Creek ICP 2 - 0,461,160,23
ED-45 Mountainside ICP 2 - 0,423,74,36
ED-45 Mountainside ICP 1 - 0,320,63,34
ED-49 Cheatam Creek ICP 1 - 0,210,77,12
ED-49 Cheatam Creek ICP 2 - 0,173,66,8
ED-06 Crossroads ICP 2 - 0,492,103,31
ED-06 Crossroads ICP 1 - 0,523,74,39
ED-47 Riverclub ICP 2 - 0,254,57,15
ED-47 Riverclub ICP 1 - 0,383,99,20
ED-39 Mathis ICP 2 - 0,280,85,17
ED-39 Mathis ICP 1 - 0,257,108,9
ED-04 Chestatee ICP 1 - 0,397,51,27
ED-04 Chestatee ICP 2 - 0,340,36,18
ED-42 Keith Bridge ICP 1 - 0,362,51,24
ED-42 Keith Bridge ICP 2 - 0,337,55,26
ED-15 Heardsville ICP 1 - 0,496,124,28
ED-15 Heardsville ICP 2 - 0,501,117,37
ED-43 Lakeland ICP 2 - 0,327,152,23
ED-43 Lakeland ICP 1 - 0,318,156,20
ED-44 Lanier ICP 1 - 0,457,60,34
ED-44 Lanier ICP 2 - 0,245,32,13
ED-34 Fowler ICP 2 - 0,401,162,39
ED-34 Fowler ICP 1 - 0,372,130,23
ED-02 Brandywine ICP 2 - 0,381,245,31
ED-02 Brandywine ICP 1 - 0,308,223,29
ED-21 South Forsyth ICP 2 - 0,162,89,5
ED-21 South Forsyth ICP 1 - 0,170,91,6
ED-27 Concord ICP 2 - 0,905,193,69
ED-27 Concord ICP 1 - 0,814,166,66
ED-25 Windermere ICP 1 - 0,694,286,28
ED-25 Windermere ICP 2 - 0,569,261,40
ED-35 Johns Creek ICP 2 - 0,379,216,21
ED-35 Johns Creek ICP 1 - 0,423,165,29
ED-16 Otwell ICP 1 - 0,667,192,47
ED-16 Otwell ICP 2 - 0,328,98,34
ED-36 Nichols ICP 2 - 0,420,166,26
ED-36 Nichols ICP 1 - 0,501,212,32
ED-19 Old Atlanta ICP 2 - 0,168,69,14
ED-19 Old Atlanta ICP 1 - 0,595,217,37
ED-41 Grassland ICP 1 - 0,229,108,20
ED-41 Grassland ICP 2 - 0,184,88,12
ED-05 Coal Mountain ICP 2 - 0,644,179,49
ED-05 Coal Mountain ICP 1 - 0,463,121,29
ED-10 Midway ICP 2 - 0,681,209,39
ED-10 Midway ICP 1 - 0,546,160,46
ICC - Absentee By Mail 1 - 99,15,10,0
ICC - Absentee By Mail 1 - 152,9,14,0
ICC - Absentee By Mail 1 - 151,13,11,1
ICC - Absentee By Mail 1 - 150,13,12,0
ICC - Absentee By Mail 1 - 153,13,10,2
ICC - Absentee By Mail 1 - 154,17,8,0
ICC - Absentee By Mail 1 - 155,15,10,0
ICC - Absentee By Mail 1 - 158,10,15,0
ICC - Absentee By Mail 1 - 157,16,5,4
ICC - Absentee By Mail 1 - 156,13,11,0
ICC - Absentee By Mail 1 - 15,5,20,0
ICC - Absentee By Mail 1 - 149,13,12,0
ICC - Absentee By Mail 1 - 142,18,7,0
ICC - Absentee By Mail 1 - 141,16,8,1
ICC - Absentee By Mail 1 - 140,11,13,1
ICC - Absentee By Mail 1 - 143,12,12,1
ICC - Absentee By Mail 1 - 144,12,12,0
ICC - Absentee By Mail 1 - 145,16,9,0
ICC - Absentee By Mail 1 - 148,18,6,0
ICC - Absentee By Mail 1 - 147,15,9,0
ICC - Absentee By Mail 1 - 146,19,6,0
ICC - Absentee By Mail 1 - 159,6,17,2
ICC - Absentee By Mail 1 - 16,14,8,2
ICC - Absentee By Mail 1 - 172,12,12,0
ICC - Absentee By Mail 1 - 171,18,7,0
ICC - Absentee By Mail 1 - 170,17,8,0
ICC - Absentee By Mail 1 - 173,9,15,0
ICC - Absentee By Mail 1 - 174,9,8,0
ICC - Absentee By Mail 1 - 175,10,9,1
ICC - Absentee By Mail 1 - 178,6,14,0
ICC - Absentee By Mail 1 - 177,4,12,0
ICC - Absentee By Mail 1 - 176,4,4,0
ICC - Absentee By Mail 1 - 17,9,17,0
ICC - Absentee By Mail 1 - 169,12,9,3
ICC - Absentee By Mail 1 - 162,15,10,0
ICC - Absentee By Mail 1 - 179,9,11,0
ED-40 West Forsyth ICP 1 - 0,574,168,40
ED-40 West Forsyth ICP 2 - 0,396,114,27
ED-46 Sawmill Branch ICP 1 - 0,207,59,16
ED-46 Sawmill Branch ICP 2 - 0,392,116,21
ICC - Absentee By Mail 1 - 164,15,9,0
ICC - Absentee By Mail 1 - 161,11,12,1
ICC - Absentee By Mail 1 - 165,13,12,0
ICC - Absentee By Mail 1 - 160,13,12,0
ICC - Absentee By Mail 1 - 163,11,13,0
ICC - Absentee By Mail 1 - 167,17,4,3
ICC - Absentee By Mail 1 - 166,16,8,1
ICC - Absentee By Mail 1 - 168,4,4,0
ICC - Absentee By Mail 1 - 14,10,14,0
ICC - Absentee By Mail 1 - 139,17,8,0
ICC - Absentee By Mail 1 - 138,10,13,2
ICC - Absentee By Mail 1 - 111,13,11,1
ICC - Absentee By Mail 1 - 110,15,10,0
ICC - Absentee By Mail 1 - 11,9,15,0
ICC - Absentee By Mail 1 - 112,19,6,0
ICC - Absentee By Mail 1 - 113,15,9,1
ICC - Absentee By Mail 1 - 114,14,11,0
ICC - Absentee By Mail 1 - 117,9,15,1
ICC - Absentee By Mail 1 - 116,15,7,1
ICC - Absentee By Mail 1 - 115,15,6,2
ICC - Absentee By Mail 1 - 109,17,8,0
ICC - Absentee By Mail 1 - 108,19,6,0
ICC - Absentee By Mail 1 - 101,8,17,0
ICC - Absentee By Mail 1 - 100,7,18,0
ICC - Absentee By Mail 1 - 10,12,12,0
ICC - Absentee By Mail 1 - 102,9,15,0
ICC - Absentee By Mail 1 - 103,12,13,0
ICC - Absentee By Mail 1 - 104,11,12,0
ICC - Absentee By Mail 1 - 107,7,17,1
ICC - Absentee By Mail 1 - 106,18,7,0
ICC - Absentee By Mail 1 - 105,14,10,1
ICC - Absentee By Mail 1 - 118,16,9,0
ICC - Absentee By Mail 1 - 119,18,7,0
ICC - Absentee By Mail 1 - 131,16,8,0
ICC - Absentee By Mail 1 - 130,22,3,0
ICC - Absentee By Mail 1 - 13,8,17,0
ICC - Absentee By Mail 1 - 132,16,9,0
ICC - Absentee By Mail 1 - 133,11,14,0
ICC - Absentee By Mail 1 - 134,14,10,0
ICC - Absentee By Mail 1 - 137,15,8,2
ICC - Absentee By Mail 1 - 136,15,10,0
ICC - Absentee By Mail 1 - 135,11,13,1
ICC - Absentee By Mail 1 - 129,14,10,1
ICC - Absentee By Mail 1 - 128,13,11,1
ICC - Absentee By Mail 1 - 121,13,12,0
ICC - Absentee By Mail 1 - 120,14,10,0
ICC - Absentee By Mail 1 - 12,7,18,0
ICC - Absentee By Mail 1 - 122,13,12,0
ICC - Absentee By Mail 1 - 123,18,7,0
