Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee by Mail - 1,14,11,0
ICC - Absentee by Mail - 2,18,7,0
ICC - Absentee by Mail - 3,16,9,0
ICC - Absentee by Mail - 4,11,14,0
ICC - Absentee by Mail - 5,10,15,0
ICC - Absentee by Mail - 6,8,16,1
AV - Registrars ICP 2 - 0,1206,456,49
AV - Registrars ICP 1 - 0,1305,504,46
ICC - Absentee by Mail - 7,11,14,0
ICC - Absentee by Mail - 8,12,11,0
ICC - Absentee by Mail - 9,9,16,0
ICC - Absentee by Mail - 10,12,11,0
ICC - Absentee by Mail - 11,13,12,0
ICC - Absentee by Mail - 12,6,19,0
ICC - Absentee by Mail - 13,12,13,0
ICC - Absentee by Mail - 14,13,11,1
ICC - Absentee by Mail - 15,13,11,1
ICC - Absentee by Mail - 16,11,12,0
ED - Webbsboro ICP 1 - 0,104,32,6
ICC - Absentee by Mail - 17,7,2,1
ICC - Absentee by Mail - 18,1,3,0
ED - Centerville ICP 1 - 0,255,36,13
ICC - Absentee by Mail - 19,1,0,0
ED - Longstreet ICP 1 - 0,161,27,8
ED - Eliam ICP 1 - 0,209,26,6
ED - Petersburg ICP 1 - 0,146,18,3
ED - Pike ICP 1 - 0,305,56,17
ED - Elberton ICP 1 - 0,313,253,14
ED - Moss - Ruckersville ICP 1 - 0,96,28,2
ED - Goshen ICP 1 - 0,480,68,26
ED - Gaines ICP 1 - 0,243,21,1
ED - Wyche ICP 1 - 0,210,53,9
ICC - Provisional - 1,6,8,0
