Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee by Mail - 1,17,32,1
ICC - Absentee by Mail - 2,9,38,3
ICC - Absentee by Mail - 3,11,39,0
ICC - Absentee by Mail - 4,4,44,0
ICC - Absentee by Mail - 5,8,41,0
ICC - Absentee by Mail - 6,12,37,0
ICC - Absentee by Mail - 7,12,37,1
ICC - Absentee by Mail - 8,7,41,1
ICC - Absentee by Mail - 9,13,36,1
ICC - Absentee by Mail - 10,11,37,1
ICC - Absentee by Mail - 11,9,38,1
ICC - Absentee by Mail - 12,16,34,0
ICC - Absentee by Mail - 13,0,1,0
ICC - Absentee by Mail - 14,8,41,0
ICC - Absentee by Mail - 15,5,45,0
ICC - Absentee by Mail - 16,5,44,1
ICC - Absentee by Mail - 17,2,3,0
ICC - Absentee by Mail - 18,0,3,0
ICC - Absentee by Mail - 19,2,2,0
ICC - Absentee by Mail - 20,0,5,0
ICC - Absentee by Mail - 21,0,3,0
ICC - Absentee by Mail - 22,0,1,0
ICC - Absentee by Mail - 23,1,0,0
ICC - Absentee by Mail - 24,0,1,0
ED-Performing Arts CTR ICP 1 - 0,133,159,6
ED-Allenhurst ICP 1 - 0,85,125,9
ED-Lyman ICP 1 - 0,131,285,17
ED-Progressive Church ICP 1 - 0,95,154,10
ED-Lewis Frasier ICP 1 - 0,147,157,7
ED-Liberty CC ICP 1 - 0,417,188,44
ED-Hinesville ICP 1 - 0,213,230,12
ED-Memorial ICP 1 - 0,88,113,6
AV-Elections Office - ICP 2 - 0,1564,1592,57
AV-Elections Office - ICP 1 - 0,1890,4301,104
ED-Gum Branch ICP 1 - 0,374,139,21
ED-Riceboro ICP 1 - 0,50,136,3
ED-Victory Baptist ICP 1 - 0,179,257,17
ED-Fleming East ICP 1 - 0,403,125,16
ICC - Absentee by Mail - 25,6,18,0
ICC - Absentee by Mail - 26,3,6,0
ICC - Absentee by Mail - 27,0,1,0
ICC - Absentee by Mail - 28,4,29,0
ICC - Absentee by Mail - 29,1,9,0
ICC - Absentee by Mail - 30,4,4,1
ICC - Absentee by Mail - 31,11,34,4
ICC - Absentee by Mail - 32,12,26,2
ICC - Absentee by Mail - 33,5,31,1
ICC - Absentee by Mail - 34,11,14,1
ICC - Absentee by Mail - 35,12,23,0
ICC - Absentee by Mail - 36,6,28,0
ICC - Absentee by Mail - 37,0,18,0
ICC - Absentee by Mail - 38,15,35,0
ICC - Absentee by Mail - 39,2,6,1
ICC - Provisional - 1,0,3,1
ICC - Absentee by Mail - 40,0,1,0
