Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,46,52,1
ICC-Absentee by Mail - 2,37,59,4
ICC-Absentee by Mail - 3,60,34,3
ICC-Absentee by Mail - 4,60,36,0
ICC-Absentee by Mail - 5,65,33,0
ICC-Absentee by Mail - 6,49,50,0
ICC-Absentee by Mail - 7,36,23,0
ICC-Absentee by Mail - 8,51,48,0
ICC-Absentee by Mail - 9,59,40,0
ICC-Absentee by Mail - 10,56,40,1
ICC-Absentee by Mail - 11,40,37,2
AV-Elections Office ICP 1 - 0,5105,1562,202
AV-Elections Office ICP 2 - 0,5747,1892,223
ICC-Absentee by Mail - 15,1,4,0
ICC-Absentee by Mail - 13,30,15,3
ICC-Absentee by Mail - 14,22,14,1
ICC-Absentee by Mail - 12,53,45,1
ED-Bogart ICP 1 - 0,479,166,29
ED-Bishop ICP 1 - 0,490,107,25
ED-City Hall ICP 1 - 0,480,194,44
ED-Civic Center ICP 1 - 0,769,315,57
ED-North Oconee ICP 1 - 0,580,111,21
ED-Colham Ferry ICP 1 - 0,480,103,27
ED-Marswood Hall ICP 1 - 0,611,176,43
ED-Dark Corner ICP 1 - 0,853,122,45
ICC-Absentee by Mail - 16,3,2,0
ICC-Provisional - 1,1,1,0
