Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office - ICP 1 - 0,3901,1091,124
ED-Oglethorpe-Red Hill I ICP 1 - 0,551,51,20
ED-Empire-Unity ICP 1 - 0,574,87,22
ED-Pine Street-Rec Center ICP 1 - 0,493,135,25
ED-Gardi ICP 1 - 0,344,20,15
ED-Screven ICP 1 - 0,566,47,18
ED-Odum-Madray Springs ICP 1 - 0,793,31,23
ED-Altamaha-VFW ICP 1 - 0,362,130,25
ICC - Absentee by Mail - 1,15,5,2
ICC - Absentee by Mail - 2,17,6,0
ICC - Absentee by Mail - 3,20,5,0
ICC - Absentee by Mail - 4,15,8,1
ICC - Absentee by Mail - 5,16,8,1
ICC - Absentee by Mail - 6,20,3,2
ICC - Absentee by Mail - 7,19,4,1
ICC - Absentee by Mail - 8,20,5,0
ICC - Absentee by Mail - 9,23,1,1
ICC - Absentee by Mail - 10,20,5,0
ICC - Absentee by Mail - 11,19,5,0
ICC - Absentee by Mail - 12,16,8,0
ICC - Absentee by Mail - 13,18,6,1
ICC - Absentee by Mail - 14,6,18,0
ICC - Absentee by Mail - 15,12,11,1
ICC - Absentee by Mail - 16,21,3,0
ICC - Absentee by Mail - 17,8,4,0
ICC - Absentee by Mail - 18,12,7,0
ICC - Absentee by Mail - 19,1,0,0
ICC - Absentee by Mail - 20,1,0,0
ICC - Absentee by Mail - 21,1,0,0
ICC - Absentee by Mail - 22,0,0,0
ICC - Absentee by Mail - 23,1,0,0
ICC - Absentee by Mail - 24,1,0,0
ICC - Absentee by Mail - 25,1,0,0
ICC - Absentee by Mail - 26,0,1,0
ICC - Absentee by Mail - 27,0,0,0
ICC - Absentee by Mail - 28,2,1,0
ICC - Provisional - 1,1,1,0
