Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 13,18,6,1
ICC-Absentee by Mail - 15,11,14,0
ICC-Absentee by Mail - 12,9,15,1
ICC-Absentee by Mail - 14,14,11,0
ICC-Absentee by Mail - 9,19,4,2
ICC-Absentee by Mail - 10,17,7,0
ICC-Absentee by Mail - 16,15,10,0
ICC-Absentee by Mail - 17,16,9,0
ICC-Absentee by Mail - 11,15,9,0
ICC-Absentee by Mail - 2,8,17,0
ICC-Absentee by Mail - 7,13,11,0
ICC-Absentee by Mail - 8,12,10,0
ICC-Absentee by Mail - 6,13,8,2
ICC-Absentee by Mail - 5,12,12,0
ICC-Absentee by Mail - 3,15,10,0
ICC-Absentee by Mail - 4,14,11,0
ICC-Absentee by Mail - 1,13,8,2
ICC-Advance Voting - 1,6,6,1
ICC-Advance Voting - 2,23,11,4
ICC-Advance Voting - 3,24,5,1
ICC-Advance Voting - 4,23,3,1
ICC-Advance Voting - 5,25,6,0
ICC-Advance Voting - 6,39,7,0
ICC-Advance Voting - 7,37,6,0
ICC-Advance Voting - 8,37,4,1
ICC-Advance Voting - 9,30,12,1
ICC-Advance Voting - 10,15,4,1
ICC-Advance Voting - 11,21,6,1
ICC-Advance Voting - 12,19,6,0
ICC-Advance Voting - 13,36,8,0
ICC-Advance Voting - 14,32,11,1
ICC-Advance Voting - 15,27,7,1
ICC-Advance Voting - 16,29,5,3
ICC-Advance Voting - 17,28,6,1
ICC-Advance Voting - 18,22,2,1
ICC-Advance Voting - 19,12,3,1
ICC-Advance Voting - 20,17,4,0
ICC-Advance Voting - 21,21,6,1
ICC-Advance Voting - 22,12,5,0
ICC-Advance Voting - 23,9,6,0
ICC-Advance Voting - 24,4,15,1
ICC-Advance Voting - 25,35,5,1
ICC-Advance Voting - 26,22,6,1
ICC-Advance Voting - 27,31,6,1
ICC-Advance Voting - 28,19,2,2
ICC-Advance Voting - 29,19,0,0
ICC-Advance Voting - 30,18,4,2
ICC-Advance Voting - 31,18,2,0
ICC-Advance Voting - 32,22,3,0
ICC-Advance Voting - 33,20,1,0
ICC-Advance Voting - 34,25,5,2
ICC-Advance Voting - 35,20,2,1
ICC-Advance Voting - 36,26,2,0
ICC-Advance Voting - 37,22,10,0
ICC-Advance Voting - 38,30,3,2
ICC-Advance Voting - 39,21,7,1
ICC-Advance Voting - 40,26,5,3
ICC-Advance Voting - 41,16,2,2
ICC-Advance Voting - 42,9,4,0
ICC-Advance Voting - 43,17,4,0
ICC-Advance Voting - 44,18,2,0
ICC-Advance Voting - 45,13,3,0
ICC-Advance Voting - 46,10,4,0
ICC-Advance Voting - 47,19,1,1
ICC-Advance Voting - 48,14,7,1
ICC-Advance Voting - 49,8,4,0
ICC-Advance Voting - 50,21,5,0
ICC-Advance Voting - 51,15,1,0
ICC-Advance Voting - 52,11,11,1
ICC-Advance Voting - 53,14,5,0
ICC-Advance Voting - 54,24,3,1
ICC-Advance Voting - 55,13,4,1
ICC-Advance Voting - 56,37,5,1
ICC-Advance Voting - 57,20,4,0
ICC-Advance Voting - 58,6,7,0
ICC-Advance Voting - 59,26,5,1
ICC-Advance Voting - 60,18,5,1
ICC-Advance Voting - 61,15,4,1
ICC-Advance Voting - 62,22,7,0
ICC-Advance Voting - 63,16,3,0
ICC-Advance Voting - 64,23,2,2
ICC-Advance Voting - 65,18,6,1
ICC-Advance Voting - 66,25,4,0
ICC-Advance Voting - 67,20,2,0
ICC-Advance Voting - 68,17,5,0
ICC-Advance Voting - 69,11,7,2
ICC-Advance Voting - 70,22,6,1
ICC-Advance Voting - 71,18,5,1
ICC-Advance Voting - 72,19,2,3
ICC-Advance Voting - 73,24,5,1
ICC-Advance Voting - 74,24,3,0
ICC-Advance Voting - 75,21,3,0
ICC-Advance Voting - 76,26,3,0
ICC-Advance Voting - 77,18,5,0
ICC-Advance Voting - 78,23,4,0
ICC-Advance Voting - 79,18,7,1
ICC-Advance Voting - 80,28,4,0
ICC-Advance Voting - 81,27,2,0
ICC-Advance Voting - 82,13,4,0
ICC-Advance Voting - 83,15,4,0
ICC-Advance Voting - 84,14,5,0
ICC-Advance Voting - 85,13,3,0
ICC-Advance Voting - 86,7,10,0
ICC-Advance Voting - 87,23,2,1
ICC-Advance Voting - 88,15,4,1
ICC-Advance Voting - 89,19,3,1
ICC-Advance Voting - 90,18,6,1
ICC-Advance Voting - 91,18,2,0
ICC-Advance Voting - 92,19,5,3
ICC-Advance Voting - 93,14,4,0
ICC-Advance Voting - 94,15,5,0
ICC-Advance Voting - 95,20,3,0
ICC-Advance Voting - 96,18,3,1
ICC-Advance Voting - 97,7,1,1
ICC-Advance Voting - 98,11,3,0
ICC-Advance Voting - 99,19,3,1
ICC-Advance Voting - 100,17,1,0
ICC-Advance Voting - 101,15,2,3
ICC-Advance Voting - 102,14,4,1
ICC-Advance Voting - 103,12,5,1
ICC-Advance Voting - 104,13,4,0
ICC-Advance Voting - 105,21,2,0
ICC-Advance Voting - 106,13,7,0
ICC-Advance Voting - 107,19,4,1
ICC-Advance Voting - 108,21,4,1
ICC-Advance Voting - 109,17,7,1
ICC-Advance Voting - 110,17,3,1
ICC-Advance Voting - 111,18,3,1
ICC-Advance Voting - 112,18,0,0
ICC-Advance Voting - 113,10,7,0
ICC-Advance Voting - 114,20,4,1
ICC-Advance Voting - 115,15,5,0
ICC-Advance Voting - 116,6,2,0
ICC-Absentee by Mail - 18,10,12,2
ICC-Absentee by Mail - 19,15,10,0
ICC-Absentee by Mail - 20,6,7,0
ICC-Absentee by Mail - 21,1,0,0
AV-Elections Office ICP 1 - 0,2040,512,73
ED-Bowersville ICP 1 - 0,454,63,24
ED-Goldmine ICP 1 - 0,514,54,24
ED-Cokesbury ICP 1 - 0,199,92,8
ED-Bio ICP 1 - 0,358,62,13
ED-Shoal Creek ICP 1 - 0,478,68,22
ED-Reed Creek ICP 2 - 0,371,41,20
ED-Reed Creek ICP 1 - 0,369,50,20
ED-Hartwell ICP 2 - 0,404,118,25
ED-Hartwell ICP 1 - 0,425,109,33
ICC-Absentee by Mail - 22,3,2,0
