Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 9,1,1,0
Absentee By Mail ICC - 2,10,13,2
Absentee By Mail ICC - 5,23,1,1
Absentee By Mail ICC - 3,15,9,0
Absentee By Mail ICC - 4,22,3,0
Absentee By Mail ICC - 6,16,9,0
Absentee By Mail ICC - 1,21,4,0
Absentee By Mail ICC - 7,21,2,2
Absentee By Mail ICC - 8,19,9,0
Absentee By Mail ICC - 11,19,6,0
Absentee By Mail ICC - 10,16,9,0
Absentee By Mail ICC - 12,3,1,3
AV-Elections Office ICP 2 - 0,4044,409,134
ED-Otter Creek ICP 2 - 0,594,37,21
ED-Blackshear ICP 1 - 0,397,27,18
ED-Blackshear ICP 2 - 0,1022,82,38
