Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee By Mail 1 - 1,7,82,0
ICC-Absentee By Mail 1 - 2,35,62,2
ICC-Absentee By Mail 1 - 3,12,63,1
ICC-Absentee By Mail 1 - 4,7,77,0
ICC-Absentee By Mail 1 - 5,6,54,1
ICC-Absentee By Mail 1 - 6,22,41,2
ICC-Absentee By Mail 1 - 7,34,36,0
ICC-Absentee By Mail 1 - 8,13,34,2
ICC-Absentee By Mail 1 - 9,19,63,0
ICC-Absentee By Mail 1 - 10,7,34,1
ICC-Absentee By Mail 1 - 11,50,43,1
ICC-Absentee By Mail 1 - 12,4,21,0
ICC-Absentee By Mail 1 - 13,13,18,0
ICC-Absentee By Mail 2 - 1,26,26,0
ICC-Absentee By Mail 1 - 14,12,86,1
ICC-Absentee By Mail 2 - 2,44,43,0
ICC-Absentee By Mail 2 - 3,22,56,0
ICC-Absentee By Mail 2 - 4,34,47,5
ICC-Absentee By Mail 2 - 5,8,33,0
ICC-Absentee By Mail 1 - 15,38,46,1
ICC-Absentee By Mail 2 - 6,21,17,0
ICC-Absentee By Mail 1 - 16,26,61,2
ICC-Absentee By Mail 2 - 7,21,49,1
ICC-Absentee By Mail 1 - 17,28,63,1
ICC-Absentee By Mail 2 - 8,11,85,0
ICC-Absentee By Mail 1 - 18,25,72,0
ICC-Absentee By Mail 2 - 9,9,31,0
ICC-Absentee By Mail 2 - 10,5,21,0
ICC-Absentee By Mail 1 - 19,11,81,0
ICC-Absentee By Mail 2 - 11,9,69,0
ICC-Absentee By Mail 1 - 20,35,52,0
ICC-Absentee By Mail 1 - 21,35,58,1
ICC-Absentee By Mail 1 - 22,29,52,2
ICC-Absentee By Mail 1 - 23,25,55,1
ICC-Absentee By Mail 1 - 24,13,55,0
ICC-Absentee By Mail 1 - 25,18,19,0
ICC-Absentee By Mail 1 - 26,34,51,0
ICC-Absentee By Mail 1 - 28,22,41,0
ICC-Absentee By Mail 2 - 12,47,45,0
ICC-Absentee By Mail 1 - 29,10,64,1
ICC-Absentee By Mail 2 - 13,10,66,0
ICC-Absentee By Mail 2 - 14,45,51,1
ICC-Absentee By Mail 1 - 30,19,31,2
ICC-Absentee By Mail 2 - 15,23,55,0
ICC-Absentee By Mail 2 - 16,10,84,0
ICC-Absentee By Mail 2 - 17,41,32,4
ICC-Absentee By Mail 1 - 32,15,70,0
ICC-Absentee By Mail 2 - 18,5,43,0
ICC-Absentee By Mail 1 - 33,2,16,0
ICC-Absentee By Mail 1 - 34,8,81,0
ICC-Absentee By Mail 2 - 19,33,12,2
ICC-Absentee By Mail 2 - 20,36,37,0
ICC-Absentee By Mail 1 - 35,19,66,0
ICC-Absentee By Mail 2 - 21,35,34,0
ICC-Absentee By Mail 2 - 22,25,8,1
ICC-Absentee By Mail 1 - 36,24,64,0
ICC-Absentee By Mail 2 - 23,32,53,1
ICC-Absentee By Mail 1 - 38,26,33,1
ICC-Absentee By Mail 1 - 39,8,22,0
ICC-Absentee By Mail 1 - 40,37,32,0
ICC-Absentee By Mail 1 - 41,7,41,0
ICC-Absentee By Mail 1 - 42,5,41,0
ICC-Absentee By Mail 1 - 43,23,61,1
ICC-Absentee By Mail 1 - 44,12,43,1
ICC-Absentee By Mail 1 - 45,7,28,0
ICC-Absentee By Mail 1 - 46,34,39,1
ICC-Absentee By Mail 1 - 47,16,43,0
ICC-Absentee By Mail 1 - 48,5,21,0
ICC-Absentee By Mail 1 - 49,24,8,0
ICC-Absentee By Mail 1 - 50,10,20,0
ICC-Absentee By Mail 1 - 51,2,23,0
ICC-Absentee By Mail 1 - 52,3,28,0
ICC-Absentee By Mail 1 - 53,2,23,0
ICC-Absentee By Mail 1 - 54,8,47,0
ICC-Absentee By Mail 2 - 24,3,3,0
ICC-Absentee By Mail 2 - 25,37,24,1
ICC-Absentee By Mail 2 - 26,9,27,0
ICC-Absentee By Mail 2 - 27,7,26,0
ICC-Absentee By Mail 2 - 28,5,12,0
ICC-Absentee By Mail 2 - 29,33,54,0
ICC-Absentee By Mail 2 - 30,10,18,1
ICC-Absentee By Mail 2 - 31,5,31,0
ICC-Absentee By Mail 2 - 32,16,43,0
ICC-Absentee By Mail 2 - 33,21,32,1
ICC-Absentee By Mail 2 - 34,5,25,1
ICC-Absentee By Mail 2 - 35,19,16,2
ICC-Absentee By Mail 2 - 36,29,14,0
ICC-Absentee By Mail 2 - 37,11,27,0
ICC-Absentee By Mail 2 - 38,29,16,0
ICC-Absentee By Mail 2 - 39,15,24,1
ICC-Absentee By Mail 2 - 40,13,23,0
ICC-Absentee By Mail 1 - 55,1,1,0
ICC-Absentee By Mail 1 - 56,7,28,0
ICC-Absentee By Mail 1 - 57,52,34,2
ICC-Absentee By Mail 1 - 58,5,44,0
ICC-Absentee By Mail 1 - 59,2,1,0
ICC-Absentee By Mail 1 - 60,33,22,0
ICC-Absentee By Mail 1 - 61,6,37,0
ICC-Absentee By Mail 1 - 62,4,21,0
ICC-Absentee By Mail 1 - 63,33,22,2
ICC-Absentee By Mail 1 - 64,5,23,0
ICC-Absentee By Mail 1 - 65,0,1,0
ICC-Absentee By Mail 1 - 66,6,8,0
ICC-Absentee By Mail 1 - 67,16,59,1
ICC-Absentee By Mail 1 - 68,5,24,0
ICC-Absentee By Mail 1 - 69,15,40,0
ICC-Absentee By Mail 1 - 70,25,29,1
ICC-Absentee By Mail 1 - 71,8,19,0
ICC-Absentee By Mail 1 - 72,15,35,1
ICC-Absentee By Mail 1 - 73,1,0,0
ICC-Absentee By Mail 1 - 74,0,1,0
ICC-Absentee By Mail 1 - 75,1,4,0
ICC-Absentee By Mail 1 - 76,0,3,0
ICC-Absentee By Mail 1 - 77,34,53,2
ICC-Absentee By Mail 1 - 78,1,2,0
ICC-Absentee By Mail 1 - 79,34,26,0
ICC-Absentee By Mail 1 - 80,2,12,0
ICC-Absentee By Mail 1 - 81,3,20,0
ICC-Absentee By Mail 1 - 82,16,25,0
ICC-Absentee By Mail 1 - 83,0,0,0
ICC-Absentee By Mail 1 - 84,4,12,0
ICC-Absentee By Mail 1 - 85,24,5,0
ICC-Absentee By Mail 1 - 86,22,41,0
ICC-Absentee By Mail 1 - 87,2,21,0
ICC-Absentee By Mail 1 - 88,2,20,0
ICC-Absentee By Mail 1 - 89,21,11,1
ICC-Absentee By Mail 1 - 90,6,12,0
ICC-Absentee By Mail 1 - 91,7,4,0
ICC-Absentee By Mail 1 - 92,1,8,0
ICC-Absentee By Mail 1 - 93,3,5,0
ICC-Absentee By Mail 1 - 94,20,22,3
ICC-Absentee By Mail 1 - 95,6,27,1
ICC-Absentee By Mail 1 - 96,3,6,0
ICC-Absentee By Mail 1 - 97,41,42,0
ICC-Absentee By Mail 1 - 98,1,10,1
ICC-Absentee By Mail 1 - 99,19,23,0
ICC-Absentee By Mail 1 - 100,0,14,0
ICC-Absentee By Mail 1 - 101,2,26,1
ICC-Absentee By Mail 1 - 102,5,11,0
ICC-Absentee By Mail 1 - 103,5,5,0
ICC-Absentee By Mail 1 - 104,32,28,0
ICC-Absentee By Mail 1 - 105,2,11,0
ICC-Absentee By Mail 1 - 106,2,16,0
ICC-Absentee By Mail 1 - 107,7,23,0
ICC-Absentee By Mail 2 - 41,8,9,0
ICC-Absentee By Mail 1 - 108,15,31,5
ICC-Absentee By Mail 1 - 109,20,20,3
ICC-Absentee By Mail 1 - 110,15,11,0
ICC-Absentee By Mail 2 - 42,3,14,0
ICC-Absentee By Mail 1 - 111,15,17,1
ICC-Absentee By Mail 2 - 43,22,12,0
ICC-Absentee By Mail 1 - 112,13,23,2
ICC-Absentee By Mail 1 - 113,47,13,1
ICC-Absentee By Mail 2 - 44,13,6,0
ICC-Absentee By Mail 1 - 114,5,22,0
ICC-Absentee By Mail 1 - 115,7,19,0
ICC-Absentee By Mail 2 - 45,6,22,0
ICC-Absentee By Mail 1 - 116,23,30,1
ICC-Absentee By Mail 1 - 117,34,47,3
ICC-Absentee By Mail 1 - 118,15,31,0
ICC-Absentee By Mail 1 - 119,1,1,0
ICC-Absentee By Mail 1 - 120,10,32,0
ICC-Absentee By Mail 1 - 121,7,23,0
ICC-Absentee By Mail 1 - 122,0,2,0
ICC-Absentee By Mail 1 - 123,8,28,1
ICC-Absentee By Mail 1 - 124,5,23,0
ICC-Absentee By Mail 1 - 125,2,1,0
ICC-Absentee By Mail 1 - 126,1,2,0
ICC-Absentee By Mail 1 - 127,41,24,0
AV-Southwest Library ICP 1 - 0,2001,2460,95
AV-Main Office ICP 1 - 0,3254,5753,130
AV-Main Office ICP 3 - 0,525,900,20
AV-Main Office ICP 2 - 0,2921,5285,121
AV-Islands Library ICP 1 - 0,4641,2229,204
AV-Mosquito Control ICP 1 - 0,3539,3302,158
AV-Civic Center ICP 1 - 0,1535,5578,107
ED-Coastal GA Botanical Gardens  ICP 1 - 0,369,421,28
ED-Christ Memorial Baptist Church  ICP 1 - 0,103,217,9
ED-The Light Church  ICP 1 - 0,151,110,16
ED-JEA Building  ICP 1 - 0,336,314,23
ED-Stillwell Towers  ICP 1 - 0,53,234,9
ED-Windsor Hall  ICP 1 - 0,176,237,12
ED-The Connexion Church  ICP 1 - 0,197,99,14
ED-Williams Court Apts  ICP 1 - 0,87,292,13
ED-St Peters Episcopal  ICP 1 - 0,877,133,25
ED-Jonesville Baptist Church  ICP 1 - 0,43,578,14
ED-Senior Citizens Center  ICP 1 - 0,26,139,3
ED-Immanuel Baptist Church  ICP 1 - 0,150,183,10
ED-Silk Hope Baptist Church  ICP 1 - 0,179,64,6
ED-Seed Church  ICP 1 - 0,80,276,7
ED-First African Baptist Church  ICP 1 - 0,24,305,2
ED-Skidaway Community Church  ICP 1 - 0,838,150,30
ED-Salvation Army  ICP 1 - 0,150,482,21
ED-Elks Lodge ICP 1 - 0,103,206,11
ED-Eli Whitney Complex 1  ICP 1 - 0,129,206,9
ED-St Thomas Episcopal Church  ICP 1 - 0,437,92,26
ED-W W Law Center  ICP 1 - 0,74,246,6
ED-Crusader Comm Center  ICP 1 - 0,307,279,16
ED-Jenkins High School  ICP 1 - 0,110,162,8
ED-Southside Baptist Church  ICP 1 - 0,85,261,14
ED-Windsor Forest Baptist  ICP 1 - 0,454,155,31
ED-St. Luke United Methodist  ICP 1 - 0,338,85,16
ED-Savannah High School  ICP 1 - 0,28,200,6
ED-Christ Community Church  ICP 1 - 0,110,434,27
ED-Oglethorpe Charter Academy  ICP 1 - 0,144,248,9
ED-Bible Baptist Church  ICP 1 - 0,117,436,14
ED-New Cov 7 Day Adv Ch  ICP 1 - 0,228,226,21
ED-Grace United Methodist Church  ICP 1 - 0,352,149,19
ED-Skidaway Island Methodist  ICP 1 - 0,1136,187,24
ED-The Sanctuary  ICP 1 - 0,287,132,11
ED-Isle of Hope Baptist  ICP 1 - 0,607,117,21
ED-Largo-Tibet Elementary  ICP 1 - 0,95,318,12
ED-Central Church of Christ  ICP 1 - 0,437,181,16
