Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 7,10,3,0
ICC-Absentee by Mail - 5,24,10,1
ICC-Absentee by Mail - 3,59,39,1
ICC-Absentee by Mail - 4,61,31,1
ICC-Absentee by Mail - 2,66,25,4
ICC-Absentee by Mail - 6,62,24,4
ICC-Absentee by Mail - 1,72,21,4
AV-Courthouse ICP 1 - 0,4408,728,207
AV-Courthouse ICP 2 - 0,887,142,40
ED-Senior Center ICP 1 - 0,548,84,36
ED-Senior Center ICP 2 - 0,963,169,55
ED-Senior Center ICP 3 - 0,358,79,28
ICC-Absentee by Mail - 8,0,1,0
ICC-Provisional - 1,0,1,0
