Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Provisional - 1,1,1,1
ICC - Absentee By Mail - 15,3,1,1
ICC - Absentee By Mail - 16,10,5,0
ICC - Absentee By Mail - 13,12,12,0
ICC - Absentee By Mail - 14,0,6,1
ICC - Absentee By Mail - 12,20,3,0
ICC - Absentee By Mail - 10,16,6,3
ICC - Absentee By Mail - 11,13,10,1
ICC - Absentee By Mail - 17,1,0,0
ICC - Absentee By Mail - 2,18,5,1
ICC - Absentee By Mail - 8,19,5,1
ICC - Absentee By Mail - 9,18,6,0
ICC - Absentee By Mail - 7,15,9,0
ICC - Absentee By Mail - 6,16,8,1
ICC - Absentee By Mail - 5,19,4,0
ICC - Absentee By Mail - 3,19,6,0
ICC - Absentee By Mail - 4,14,7,0
ICC - Absentee By Mail - 1,16,5,0
ED-Franklin ICP 1 - 0,383,69,18
ED-Centralhatchee ICP 1 - 0,572,41,19
ED-Enon Grove ICP 1 - 0,300,20,15
ED-Cooksville-Corinth ICP 1 - 0,189,19,5
AV-Courthouse ICP 1 - 0,1420,230,44
ED-Southwest ICP 1 - 0,169,38,7
ED-Ephesus ICP 1 - 0,456,24,17
