Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 2 - 0,1564,938,58
Absentee By Mail ICC - 1,7,11,0
Absentee By Mail ICC - 2,4,20,0
Absentee By Mail ICC - 3,3,15,0
Absentee By Mail ICC - 4,7,16,2
Absentee By Mail ICC - 5,7,14,1
Absentee By Mail ICC - 6,7,13,0
Absentee By Mail ICC - 7,11,12,1
Absentee By Mail ICC - 8,7,17,0
Absentee By Mail ICC - 9,5,17,0
Absentee By Mail ICC - 10,7,16,0
Absentee By Mail ICC - 11,3,19,2
Absentee By Mail ICC - 12,7,17,0
Absentee By Mail ICC - 13,7,15,0
Absentee By Mail ICC - 14,9,13,0
Absentee By Mail ICC - 15,0,2,0
ED-Morven ICP 2 - 0,439,104,20
ED-Dixie ICP 2 - 0,160,68,6
ED-Pavo ICP 2 - 0,200,50,11
ED-Barwick ICP 2 - 0,120,24,5
ED-Briggs ICP 2 - 0,521,96,15
ED-Nankin ICP 2 - 0,200,17,3
ED-Quitman 2 ICP - 0,269,249,17
Absentee By Mail ICC - 16,4,23,0
Provisional ICC - 1,8,4,0
Election Day Central ICC - 1,6,0,0
