Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,1291,522,48
ED-Precinct 5 ICP 1 - 0,338,40,8
ED-Precinct 1 ICP 1 - 0,50,136,8
ED-Precinct 6 ICP 1 - 0,288,156,14
ICC - Absentee By Mail - 1,11,18,0
ICC - Absentee By Mail - 2,13,16,1
ICC - Absentee By Mail - 3,12,17,0
ICC - Absentee By Mail - 4,10,20,0
ICC - Absentee By Mail - 5,8,22,0
ICC - Absentee By Mail - 6,9,19,2
ICC - Absentee By Mail - 7,11,19,0
ICC - Absentee By Mail - 8,5,22,2
ICC - Provisional - 1,6,6,1
