Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,34,16,0
ICC - Absentee By Mail - 2,20,30,0
ICC - Absentee By Mail - 3,33,15,0
ICC - Absentee By Mail - 4,36,12,0
ICC - Absentee By Mail - 5,35,12,0
ICC - Absentee By Mail - 6,15,13,0
ICC - Absentee By Mail - 7,40,7,2
ICC - Absentee By Mail - 8,34,14,1
ICC - Absentee By Mail - 9,37,11,1
ICC - Absentee By Mail - 10,32,17,1
ICC - Absentee By Mail - 11,31,17,2
ICC - Absentee By Mail - 12,35,13,0
ICC - Absentee By Mail - 13,28,21,0
ICC - Absentee By Mail - 14,37,10,1
ICC - Absentee By Mail - 15,19,30,1
ICC - Absentee By Mail - 16,35,13,2
ICC - Absentee By Mail - 17,30,18,0
ICC - Absentee By Mail - 18,33,17,0
ICC - Absentee By Mail - 19,32,17,1
ICC - Absentee By Mail - 20,31,17,1
ICC - Absentee By Mail - 21,35,12,2
ICC - Absentee By Mail - 22,25,25,0
ICC - Absentee By Mail - 23,4,10,0
AV-Fairyland ICP - 0,390,110,14
AV-Chickamauga Civic Ctr ICP - 0,2219,251,71
AV-Rossville Muni Ctr ICP - 0,1686,398,62
AV-Rock Spring ICP - 0,951,104,37
AV-Courthouse ICP - 0,3614,670,130
ED-Kensington ICP 1 - 0,425,41,24
ED-Armuchee Valley ICP 1 - 0,582,54,25
ED-Rock Spring ICP 2 - 0,709,58,45
ED-Rock Spring ICP 1 - 0,454,69,15
ED-Walnut Grove ICP 1 - 0,569,38,22
ED-Rossville ICP 2 - 0,359,98,18
ED-Rossville ICP 1 - 0,392,129,25
ED-Mountain ICP 1 - 0,426,47,23
ED-Fairyland ICP 1 - 0,317,85,28
ED-Fairview ICP 1 - 0,508,96,27
ED-La Fayette ICP 2 - 0,542,87,32
ED-La Fayette ICP 1 - 0,532,92,30
ED-Chickamauga ICP 2 - 0,625,75,28
ED-Chickamauga ICP 1 - 0,595,85,37
ED-Chattanooga Valley ICP 2 - 0,654,110,39
ED-Chattanooga Valley ICP 1 - 0,587,133,30
ICC - Provisional - 1,11,0,0
