Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 1,22,32,3
ED-Georgetown ICP 1 - 0,164,113,10
ED-Morris ICP 1 - 0,22,19,0
ICC-Advanced Voting - 1,35,13,0
ICC-Advanced Voting - 2,30,16,1
ICC-Advanced Voting - 3,28,18,1
ICC-Advanced Voting - 4,34,15,2
ICC-Advanced Voting - 5,37,12,0
ICC-Advanced Voting - 6,27,16,2
ICC-Advanced Voting - 7,26,21,2
ICC-Advanced Voting - 8,37,19,3
ICC-Advanced Voting - 9,36,13,0
ICC-Advanced Voting - 10,27,22,0
