Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,4390,1343,146
ED-Shaw ICP 1 - 0,80,303,3
ED-TyTy ICP 1 - 0,223,5,7
ED-Hamilton ICP 1 - 0,272,11,7
ED-Hopewell ICP 1 - 0,339,31,15
ED-Autreyville ICP 1 - 0,315,50,10
ED-Lee ICP 1 - 0,235,8,15
ED-Hartsfield ICP 1 - 0,178,8,4
ED-Millcreek ICP 1 - 0,131,8,7
Absentee By Mail ICC - 1,8,16,0
Absentee By Mail ICC - 2,65,33,1
Absentee By Mail ICC - 3,56,41,3
ED-Moultrie ICP 1 - 0,496,241,13
ED-Thigpen ICP 1 - 0,90,8,2
ED-Murphy ICP 1 - 0,258,13,6
ED-Crosland ICP 1 - 0,97,16,2
Absentee By Mail ICC - 4,63,34,2
ED-Funston ICP 1 - 0,310,26,5
ED-Bridgecreek ICP 1 - 0,309,15,12
ED-Norman Park ICP 1 - 0,440,68,14
Absentee By Mail ICC - 5,47,52,1
ED-Warrior ICP 1 - 0,319,24,9
Absentee By Mail ICC - 6,63,36,0
ED-Robinson ICP 1 - 0,252,22,11
ED-Doerun ICP 1 - 0,176,73,7
ED-Monk ICP 1 - 0,352,35,10
Provisional ICC - 1,1,2,0
