Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee by Mail - 1,5,20,0
ICC - Absentee by Mail - 2,3,22,0
ICC - Absentee by Mail - 3,4,21,0
ICC - Absentee by Mail - 4,3,17,0
ICC - Absentee by Mail - 5,5,20,0
ICC - Absentee by Mail - 6,3,22,0
ICC - Absentee by Mail - 7,6,18,0
ICC - Absentee by Mail - 8,4,21,0
ICC - Absentee by Mail - 9,3,20,0
ICC - Absentee by Mail - 10,1,19,0
ICC - Absentee by Mail - 11,5,20,0
ICC - Absentee by Mail - 12,5,18,2
ICC - Absentee by Mail - 13,6,19,0
ICC - Absentee by Mail - 14,2,22,0
ICC - Absentee by Mail - 15,4,19,0
ICC - Absentee by Mail - 16,1,22,1
ICC - Absentee by Mail - 17,4,19,0
ICC - Absentee by Mail - 18,3,13,1
AV-Elections Office - ICP 1 - 0,597,1025,36
ED-Youth Center ICP 1 - 0,32,127,4
ED-St Mark ICP 1 - 0,26,75,2
ED-Power of God ICP 1 - 0,27,87,8
ED-Warren Chapel ICP 1 - 0,42,11,5
ED-Mayfield Community Center ICP 1 - 0,14,58,3
ED-Devereux Fire ICP 1 - 0,135,95,8
ED-Second Beulah ICP 1 - 0,21,59,4
ED-Second Darrien ICP 1 - 0,58,60,4
ED-Sparta 4C ICP 1 - 0,11,14,1
ED-Courthouse ICP 1 - 0,43,106,1
ICC - Absentee by Mail - 19,5,18,1
ICC - Absentee by Mail - 20,4,19,1
ICC - Provisional - 1,0,1,0
ICC - Absentee by Mail - 21,0,1,0
