Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,26,22,2
ICC - Absentee By Mail - 2,13,7,4
ICC - Absentee By Mail - 3,16,9,0
ICC - Absentee By Mail - 4,13,12,0
ICC - Absentee By Mail - 5,12,12,1
ICC - Absentee By Mail - 6,9,15,1
ICC - Absentee By Mail - 7,18,5,2
ICC - Absentee By Mail - 8,8,17,0
ICC - Absentee By Mail - 9,11,13,1
ICC - Absentee By Mail - 10,9,12,2
ICC - Absentee By Mail - 11,14,8,0
ICC - Absentee By Mail - 12,16,8,1
ICC - Absentee By Mail - 13,16,7,1
ICC - Absentee By Mail - 14,9,13,3
ICC - Absentee By Mail - 15,11,13,1
ICC - Absentee By Mail - 16,11,14,0
ICC - Absentee By Mail - 17,13,10,0
ICC - Absentee By Mail - 18,12,9,2
ICC - Absentee By Mail - 19,17,8,0
ICC - Absentee By Mail - 20,17,8,0
ICC - Absentee By Mail - 21,11,12,2
ICC - Absentee By Mail - 22,14,11,0
ICC - Absentee By Mail - 23,15,10,0
ICC - Absentee By Mail - 24,13,10,1
ICC - Absentee By Mail - 25,9,16,0
ICC - Absentee By Mail - 26,19,3,0
ICC - Absentee By Mail - 27,12,11,2
ICC - Absentee By Mail - 28,9,13,1
ICC - Absentee By Mail - 29,19,6,0
ICC - Absentee By Mail - 30,18,6,0
ICC - Absentee By Mail - 31,12,13,0
ICC - Absentee By Mail - 32,12,12,1
ICC - Absentee by Mail 2 - 1,11,14,0
ICC - Absentee By Mail - 33,17,8,0
ICC - Absentee By Mail - 34,5,19,1
ICC - Absentee By Mail - 35,15,10,0
ICC - Absentee by Mail 2 - 2,12,13,0
ICC - Absentee by Mail 2 - 3,9,14,0
ICC - Absentee By Mail - 36,17,8,0
ICC - Absentee By Mail - 37,14,11,0
ICC - Absentee by Mail 2 - 4,8,17,0
ICC - Absentee by Mail 2 - 5,11,12,0
ICC - Absentee By Mail - 38,16,8,0
ICC - Absentee by Mail 2 - 6,17,7,1
ICC - Absentee By Mail - 39,18,6,0
ICC - Absentee By Mail - 40,16,9,0
ICC - Absentee By Mail - 41,11,14,0
ICC - Absentee By Mail - 42,12,12,0
ICC - Absentee By Mail - 43,10,14,0
ICC - Absentee By Mail - 44,17,8,0
ICC - Absentee By Mail - 45,11,14,0
ICC - Absentee By Mail - 46,17,7,1
ICC - Absentee By Mail - 47,7,15,3
ICC - Absentee By Mail - 48,14,10,1
ICC - Absentee By Mail - 49,20,5,0
ICC - Absentee by Mail 2 - 7,17,7,0
ICC - Absentee By Mail - 50,15,8,1
ICC - Absentee by Mail 2 - 8,17,8,0
ICC - Absentee By Mail - 51,13,11,0
ICC - Absentee By Mail - 52,16,9,0
ICC - Absentee By Mail - 53,12,13,0
ICC - Absentee By Mail - 54,12,13,0
ICC - Absentee By Mail - 55,18,7,0
ICC - Absentee by Mail 2 - 9,16,8,1
ICC - Absentee by Mail 2 - 10,14,7,2
ICC - Absentee By Mail - 56,18,6,0
ICC - Absentee By Mail - 57,16,8,0
ICC - Absentee By Mail - 58,15,9,0
ICC - Absentee by Mail 2 - 11,16,5,2
ICC - Absentee By Mail - 59,11,14,0
ICC - Absentee By Mail - 60,11,10,2
ICC - Absentee By Mail - 61,11,14,0
ICC - Absentee by Mail 2 - 12,12,13,0
ICC - Absentee By Mail - 62,14,10,0
ICC - Absentee By Mail - 63,19,6,0
ICC - Absentee By Mail - 64,19,4,1
ICC - Absentee by Mail 2 - 13,13,11,0
ICC - Absentee By Mail - 65,8,17,0
ICC - Absentee By Mail - 66,16,8,1
ICC - Absentee By Mail - 67,13,9,2
ICC - Absentee By Mail - 68,14,11,0
ICC - Absentee By Mail - 69,7,18,0
ICC - Absentee By Mail - 70,14,11,0
ICC - Absentee By Mail - 71,15,6,2
ICC - Absentee By Mail - 72,19,6,0
ICC - Absentee By Mail - 73,16,8,1
ICC - Absentee By Mail - 74,18,6,1
ICC - Absentee By Mail - 75,11,14,0
ICC - Absentee By Mail - 76,18,6,1
ICC - Absentee by Mail 2 - 14,10,15,0
ICC - Absentee By Mail - 77,16,9,0
ICC - Absentee By Mail - 78,19,5,0
ICC - Absentee by Mail 2 - 15,16,9,0
ICC - Absentee By Mail - 79,10,14,0
ICC - Absentee by Mail 2 - 16,16,8,1
ICC - Absentee By Mail - 80,12,13,0
ICC - Absentee By Mail - 81,13,11,1
ICC - Absentee By Mail - 82,17,5,1
ICC - Absentee By Mail - 83,21,2,1
ICC - Absentee By Mail - 84,19,6,0
ICC - Absentee By Mail - 85,13,11,1
ICC - Absentee By Mail - 86,19,6,0
ICC - Absentee By Mail - 87,9,16,0
ICC - Absentee By Mail - 88,6,18,1
ICC - Absentee By Mail - 89,12,13,0
ICC - Absentee By Mail - 90,11,9,4
ICC - Absentee By Mail - 91,17,8,0
ICC - Absentee By Mail - 92,15,10,0
ICC - Absentee By Mail - 93,15,10,0
ICC - Absentee By Mail - 94,13,12,0
ICC - Absentee By Mail - 95,21,4,0
ICC - Absentee By Mail - 96,15,10,0
ICC - Absentee By Mail - 97,9,16,0
ICC - Absentee By Mail - 98,10,15,0
ICC - Absentee By Mail - 99,14,11,0
ICC - Absentee By Mail - 100,17,7,1
ICC - Absentee By Mail - 101,17,8,0
ICC - Absentee by Mail 2 - 17,16,7,2
ICC - Absentee by Mail 2 - 18,16,9,0
ICC - Absentee by Mail 2 - 19,13,12,0
ICC - Absentee By Mail - 102,19,6,0
ICC - Absentee By Mail - 103,18,5,1
ICC - Absentee by Mail 2 - 20,19,6,0
ICC - Absentee By Mail - 104,13,11,0
ICC - Absentee By Mail - 105,11,15,1
ICC - Absentee By Mail - 106,13,12,0
ICC - Absentee by Mail 2 - 21,17,8,1
ICC - Absentee By Mail - 107,11,12,1
ICC - Absentee by Mail 2 - 22,17,5,2
ICC - Absentee By Mail - 108,9,16,0
ICC - Absentee By Mail - 109,12,11,1
ICC - Absentee By Mail - 110,7,16,0
ICC - Absentee by Mail 2 - 23,16,8,1
ICC - Absentee By Mail - 111,20,3,1
ICC - Absentee by Mail 2 - 24,12,10,1
ICC - Absentee by Mail 2 - 25,16,9,0
ICC - Absentee By Mail - 112,17,7,1
ICC - Absentee By Mail - 113,10,15,0
ICC - Absentee by Mail 2 - 26,10,12,0
ICC - Absentee By Mail - 114,14,10,1
ICC - Absentee by Mail 2 - 27,13,8,2
ICC - Absentee By Mail - 115,13,11,1
ICC - Absentee by Mail 2 - 28,15,7,2
ICC - Absentee by Mail 2 - 29,12,12,1
ICC - Absentee By Mail - 116,15,7,2
ICC - Absentee by Mail 2 - 30,17,7,0
ICC - Absentee By Mail - 117,13,9,2
ICC - Absentee By Mail - 118,15,6,2
ICC - Absentee By Mail - 119,13,12,0
ICC - Absentee By Mail - 120,17,8,0
ICC - Absentee By Mail - 121,10,13,2
ICC - Absentee by Mail 2 - 31,13,10,0
ICC - Absentee By Mail - 122,17,7,0
ICC - Absentee By Mail - 123,15,10,0
ICC - Absentee by Mail 2 - 32,13,7,3
ICC - Absentee By Mail - 124,13,9,1
ICC - Absentee by Mail 2 - 33,16,6,1
ICC - Absentee by Mail 2 - 34,11,14,0
ICC - Absentee By Mail - 125,17,7,1
ICC - Absentee by Mail 2 - 35,9,14,1
ICC - Absentee By Mail - 126,17,7,1
ICC - Absentee By Mail - 127,10,13,1
ICC - Absentee by Mail 2 - 36,10,13,1
ICC - Absentee By Mail - 128,13,9,2
ICC - Absentee By Mail - 129,12,13,0
ICC - Absentee by Mail 2 - 37,14,11,0
ICC - Absentee By Mail - 130,10,15,0
ICC - Absentee by Mail 2 - 38,17,7,0
ICC - Absentee By Mail - 131,11,14,0
ICC - Absentee By Mail - 132,11,13,0
ICC - Absentee by Mail 2 - 39,15,8,1
ICC - Absentee by Mail 2 - 40,19,5,1
ICC - Absentee By Mail - 133,19,3,1
ICC - Absentee by Mail 2 - 41,19,6,0
ICC - Absentee by Mail 2 - 42,16,5,1
ICC - Absentee By Mail - 134,10,14,0
ICC - Absentee by Mail 2 - 43,17,7,1
ICC - Absentee By Mail - 135,14,11,0
ICC - Absentee By Mail - 136,16,9,0
ICC - Absentee By Mail - 137,19,4,1
ICC - Absentee by Mail 2 - 44,16,9,0
ICC - Absentee By Mail - 138,9,15,1
ICC - Absentee By Mail - 139,12,11,2
ICC - Absentee by Mail 2 - 45,15,9,1
ICC - Absentee By Mail - 140,13,12,0
ICC - Absentee by Mail 2 - 46,13,7,3
ICC - Absentee By Mail - 141,12,13,0
ICC - Absentee by Mail 2 - 47,15,7,0
ICC - Absentee By Mail - 142,15,10,0
ICC - Absentee by Mail 2 - 48,10,13,1
ICC - Absentee By Mail - 143,9,15,0
ICC - Absentee By Mail - 144,15,10,0
ICC - Absentee by Mail 2 - 49,7,18,0
ICC - Absentee By Mail - 145,12,12,0
ICC - Absentee by Mail 2 - 50,16,9,0
ICC - Absentee by Mail 2 - 51,11,13,0
ICC - Absentee By Mail - 146,14,9,1
ICC - Absentee By Mail - 147,13,10,2
ICC - Absentee By Mail - 148,18,7,0
ICC - Absentee by Mail 2 - 52,15,10,0
ICC - Absentee By Mail - 149,16,9,0
ICC - Absentee by Mail 2 - 53,12,12,0
ICC - Absentee By Mail - 150,11,13,1
ICC - Absentee By Mail - 151,16,7,0
ICC - Absentee By Mail - 152,10,12,1
ICC - Absentee by Mail 2 - 54,11,13,0
ICC - Absentee By Mail - 153,9,15,1
ICC - Absentee By Mail - 154,15,9,1
ICC - Absentee By Mail - 155,13,10,1
ICC - Absentee by Mail 2 - 55,13,11,0
ICC - Absentee by Mail 2 - 56,13,9,1
ICC - Absentee By Mail - 156,11,12,1
ICC - Absentee by Mail 2 - 57,13,12,0
ICC - Absentee By Mail - 157,15,10,0
ICC - Absentee By Mail - 158,15,8,1
ICC - Absentee by Mail 2 - 58,17,8,0
ICC - Absentee By Mail - 159,10,14,0
ICC - Absentee by Mail 2 - 59,8,16,0
ICC - Absentee By Mail - 160,11,9,5
ICC - Absentee by Mail 2 - 60,12,12,1
ICC - Absentee By Mail - 161,16,9,0
ICC - Absentee By Mail - 162,13,11,0
ICC - Absentee by Mail 2 - 61,14,9,2
ICC - Absentee By Mail - 163,17,7,2
ICC - Absentee By Mail - 164,11,14,0
ICC - Absentee by Mail 2 - 62,16,9,0
ICC - Absentee By Mail - 165,14,11,0
ICC - Absentee By Mail - 166,12,11,0
ICC - Absentee By Mail - 167,16,9,0
ICC - Absentee By Mail - 168,18,7,0
ICC - Absentee By Mail - 169,15,7,1
ICC - Absentee by Mail 2 - 63,13,8,3
ICC - Absentee By Mail - 170,17,8,0
ICC - Absentee by Mail 2 - 64,12,13,0
ICC - Absentee by Mail 2 - 65,23,2,0
ICC - Absentee By Mail - 171,18,6,0
ICC - Absentee by Mail 2 - 66,13,12,0
ICC - Absentee By Mail - 172,20,5,0
ICC - Absentee by Mail 2 - 67,11,11,2
ICC - Absentee by Mail 2 - 68,16,9,0
ICC - Absentee By Mail - 173,8,15,0
