Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC Absentee By Mail - 1,13,10,0
ICC Absentee By Mail - 2,12,7,2
ICC Absentee By Mail - 3,10,12,0
ICC Absentee By Mail - 4,16,8,0
ICC Absentee By Mail - 5,16,9,0
ICC Absentee By Mail - 6,14,10,0
ICC Absentee By Mail - 7,16,7,0
ICC Absentee By Mail - 8,7,15,0
ICC Absentee By Mail - 9,13,11,0
ICC Absentee By Mail - 10,21,3,0
ICC Absentee By Mail - 11,1,6,0
ICC Absentee By Mail - 12,3,8,0
ICC Absentee By Mail - 13,2,1,0
ED-Veterans Comm Ctr ICP 1 - 0,400,113,17
ED-Veterans Comm Ctr ICP 2 - 0,391,125,12
AV-Courthouse Annex ICP 1 - 0,753,223,16
AV-Courthouse Annex ICP 2 - 0,746,229,19
ICC Absentee By Mail - 14,6,2,1
