Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 1,20,29,0
Absentee By Mail ICC - 2,24,25,0
Absentee By Mail ICC - 3,20,28,0
Absentee By Mail ICC - 4,21,27,1
Absentee By Mail ICC - 5,5,17,0
ED-Blakely ICP 2 - 0,67,144,2
ED-Blakely ICP 1 - 0,101,209,3
AV-Elections Office ICP 1 - 0,1228,689,28
ED-Cuba ICP 1 - 0,225,61,4
ED-Arlington ICP 1 - 0,142,147,6
ED-Cedar Springs ICP 1 - 0,300,69,10
ED-Urquhart ICP 1 - 0,137,26,3
Provisional ICC - 3,4,0,0
