Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee by Mail - 1,28,22,0
ICC-Absentee by Mail - 2,26,23,1
ICC-Absentee by Mail - 3,29,18,3
ICC-Absentee by Mail - 4,28,22,0
ICC-Absentee by Mail - 5,26,23,1
ICC-Absentee by Mail - 6,25,20,4
ICC-Absentee by Mail - 7,19,30,0
ICC-Absentee by Mail - 8,30,19,0
ICC-Absentee by Mail - 9,25,24,0
ICC-Absentee by Mail - 10,21,29,0
ICC-Absentee by Mail - 11,22,26,2
ICC-Absentee by Mail - 12,34,14,2
ICC-Absentee by Mail - 13,19,27,1
ICC-Absentee by Mail - 14,31,18,1
ICC-Absentee by Mail - 15,1,0,0
ICC-Absentee by Mail - 16,2,6,0
AV-Elections Office ICP 1 - 0,1443,493,67
AV-Elections Office ICP 2 - 0,3016,912,118
ED-101 ICP 1 - 0,322,190,20
ED-106 ICP 1 - 0,362,33,24
ED-104 ICP 1 - 0,343,199,22
ED-107 ICP 1 - 0,806,118,27
ED-105 ICP 1 - 0,750,88,35
ICC-Absentee by Mail - 17,6,2,0
ICC-Provisional - 1,3,0,0
ICC-Absentee by Mail - 18,1,0,0
ICC-Absentee by Mail - 19,2,2,2
