Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee By Mail 2 - 1,56,40,3
ICC-Absentee By Mail 2 - 2,48,51,0
ICC-Absentee By Mail - 1,52,45,2
ICC-Absentee By Mail - 2,24,74,0
ICC-Absentee By Mail - 3,21,77,0
ICC-Absentee By Mail - 4,40,60,0
ICC-Absentee By Mail - 5,45,51,3
ICC-Absentee By Mail - 6,29,68,0
ICC-Absentee By Mail - 7,41,56,2
ICC-Absentee By Mail - 8,42,53,3
ICC-Absentee By Mail - 9,38,60,1
ICC-Absentee By Mail - 10,56,42,1
ICC-Absentee By Mail - 11,21,40,0
ICC-Absentee By Mail - 12,44,54,1
ICC-Absentee By Mail - 13,35,64,1
ICC-Absentee By Mail - 14,36,59,2
ICC-Absentee By Mail - 15,51,54,5
ICC-Absentee By Mail - 16,42,54,3
ICC-Absentee By Mail - 17,37,61,2
ICC-Absentee By Mail - 18,45,51,3
ICC-Absentee By Mail - 19,44,53,2
ICC-Absentee By Mail 3 - 1,52,43,3
ICC-Absentee By Mail 2 - 3,45,53,0
ICC-Absentee By Mail - 20,46,53,2
ICC-Absentee By Mail 3 - 2,19,29,0
ICC-Absentee By Mail 3 - 3,35,60,2
ICC-Absentee By Mail 3 - 4,21,36,1
ICC-Absentee By Mail 3 - 5,39,57,4
ICC-Absentee By Mail - 21,36,62,1
ICC-Absentee By Mail 2 - 4,41,56,3
ICC-Absentee By Mail 2 - 5,39,59,0
ICC-Absentee By Mail 2 - 6,34,57,5
ICC-Absentee By Mail 2 - 7,48,54,5
ICC-Absentee By Mail 2 - 8,51,45,3
ICC-Absentee By Mail 2 - 9,35,45,2
ICC-Absentee By Mail 2 - 10,42,57,1
ICC-Absentee By Mail 2 - 11,40,56,2
ICC-Absentee By Mail 3 - 6,27,32,3
AV-North Houston Sports Complex ICP 1 - 0,362,457,21
AV-North Houston Sports Complex ICP 2 - 0,594,730,33
AV-Main Board of Elections ICP 1 - 0,2465,1050,115
AV-Main Board of Elections ICP 2 - 0,2534,979,111
AV-Central GA Tech College ICP 2 - 0,4173,2397,198
AV-Central GA Tech College ICP 1 - 0,4115,2428,211
AV-Houston Health Pav Conf Ctr ICP 1 - 0,3246,3411,171
AV-Houston Health Pav Conf Ctr ICP 2 - 0,3287,3415,173
ICC-Absentee By Mail 3 - 7,12,30,4
ICC-Absentee By Mail 3 - 8,2,9,1
ICC-Absentee By Mail 3 - 9,6,12,1
ICC-Absentee By Mail 3 - 10,3,1,0
ICC-Absentee By Mail 3 - 11,1,0,0
ICC-Absentee By Mail 3 - 12,3,11,0
ICC-Absentee By Mail 3 - 13,13,21,2
ICC-Absentee By Mail 3 - 14,1,1,0
ED-HCTC ICP 1 - 0,220,195,15
ED-HCTC ICP 2 - 0,194,168,16
ED-HAFS ICP 1 - 0,598,77,28
ED-FMMS ICP 1 - 0,477,291,33
ED-FMMS ICP 2 - 0,574,359,16
ED-ANNX ICP 1 - 0,518,221,29
ED-TWPK ICP 1 - 0,201,101,15
ED-TWPK ICP 2 - 0,380,214,24
ED-VHS ICP 1 - 0,484,174,32
ED-VHS ICP 2 - 0,514,135,33
ED-NHSC ICP 1 - 0,288,97,24
ED-MCMS ICP 2 - 0,614,202,45
ED-MCMS ICP 1 - 0,592,200,33
ED-HHPC ICP 2 - 0,334,319,28
ED-HHPC ICP 1 - 0,224,194,22
ED-WELL ICP 2 - 0,98,305,13
ED-WELL ICP 1 - 0,139,443,11
ED-TMS ICP 2 - 0,153,134,5
ED-TMS ICP 1 - 0,242,244,21
ED-CENT ICP 2 - 0,478,265,37
ED-CENT ICP 1 - 0,426,231,28
ED-HEFS ICP 1 - 0,365,117,9
ED-ROZR ICP 2 - 0,813,378,41
ED-ROZR ICP 1 - 0,715,275,33
ED-BMS ICP 1 - 0,828,319,49
ED-BMS ICP 2 - 0,546,156,27
ED-CGTC ICP 2 - 0,239,92,15
ED-CGTC ICP 1 - 0,222,97,11
ICC-Provisional - 1,10,12,1
ICC-Absentee By Mail 2 - 12,0,4,0
ICC-Absentee By Mail 2 - 13,3,7,0
ICC-Absentee By Mail 2 - 14,0,1,0
