Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 1,24,22,0
ICC - Absentee By Mail - 2,33,13,0
ICC - Absentee By Mail - 3,17,17,4
ICC - Absentee By Mail - 4,2,0,0
ICC - Absentee By Mail - 5,10,13,1
ICC - Absentee By Mail - 6,2,0,0
ICC - Absentee By Mail - 7,1,0,0
AV-County Admin Bldg ICP 1 - 0,2110,407,72
ED-North Dade ICP 1 - 0,387,55,17
ED-New Home ICP 1 - 0,211,23,16
ED-New Salem ICP 1 - 0,372,40,24
ED-South Dade ICP 1 - 0,258,42,9
ED-Trenton ICP 1 - 0,457,40,11
ED-Davis ICP 1 - 0,577,31,20
ED-West Brow ICP 1 - 0,343,52,8
ICC - Provisional - 1,3,0,0
