Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee by Mail - 1,13,12,0
ICC - Absentee by Mail - 2,17,6,0
ICC - Absentee by Mail - 3,7,15,0
ICC - Absentee by Mail - 4,14,10,1
ICC - Absentee by Mail - 5,12,11,0
ICC - Absentee by Mail - 6,9,14,1
ICC - Absentee by Mail - 7,2,5,0
ICC - Absentee by Mail - 8,17,8,0
ICC - Absentee by Mail - 9,10,15,0
ICC - Absentee by Mail - 10,12,11,1
ICC - Absentee by Mail - 11,10,13,0
ICC - Absentee by Mail - 12,6,16,2
ICC - Absentee by Mail - 13,14,11,0
ICC - Absentee by Mail - 14,12,12,1
ICC - Absentee by Mail - 15,9,15,0
ICC - Absentee by Mail - 16,2,1,0
ICC - Absentee by Mail - 17,15,7,1
ICC - Absentee by Mail - 18,8,16,1
ICC - Absentee by Mail - 19,14,8,0
ICC - Absentee by Mail - 20,21,3,1
ICC - Absentee by Mail - 21,14,9,1
ICC - Absentee by Mail - 22,10,4,1
ICC - Absentee by Mail - 23,3,3,0
ICC - Absentee by Mail - 24,15,8,0
ICC - Absentee by Mail - 25,17,9,0
ICC - Absentee by Mail - 26,1,1,0
ED-STIALC ICP 1 - 0,413,160,19
AV-Elections Office - ICP 1 - 0,3738,998,128
ED-Newbranch ICP 1 - 0,394,14,8
ED-Lyons ICP 1 - 0,432,95,13
ED-VPD ICP 1 - 0,664,239,25
ED-Cedar Crossing ICP 1 - 0,419,13,8
ICC - Absentee by Mail - 27,0,2,0
ICC - Provisional - 1,1,0,0
ICC - Provisional - 2,1,0,0
