Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Elections Office ICP 1 - 0,969,642,31
ICC-Absentee By Mail - 1,9,16,0
ICC-Absentee By Mail - 2,16,7,1
ICC-Absentee By Mail - 3,11,15,0
ICC-Absentee By Mail - 4,7,15,0
ICC-Absentee By Mail - 5,5,20,0
ICC-Absentee By Mail - 6,5,20,0
ICC-Absentee By Mail - 7,7,18,0
ICC-Absentee By Mail - 8,8,17,0
ICC-Absentee By Mail - 9,2,9,0
ICC-Absentee By Mail - 10,1,0,0
ED-Lilly ICP 1 - 0,88,48,3
ED-Byromville ICP 1 - 0,133,82,2
ED-Vienna ICP 1 - 0,201,168,9
ED-Unadilla ICP 1 - 0,228,188,13
ED-Pinehurst ICP 1 - 0,130,31,2
