Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
AV-Voter Registration Office ICP 1 - 0,5255,3328,210
AV-Voter Registration Office ICP 2 - 0,2979,1964,161
AV-Eastside ICP 1 - 0,5926,1779,231
AV-Eastside ICP 2 - 0,5738,1762,245
AV-Eastside ICP 3 - 0,2418,787,90
ICC - Absentee By Mail - 1,25,24,1
ICC - Absentee By Mail - 2,24,25,1
ICC - Absentee By Mail - 3,34,16,0
ICC - Absentee By Mail - 4,27,23,0
ICC - Absentee By Mail - 5,29,20,0
ICC - Absentee By Mail - 6,33,17,0
ICC - Absentee By Mail - 7,12,37,0
ICC - Absentee By Mail - 8,17,32,0
ICC - Absentee By Mail - 9,34,16,0
ICC - Absentee By Mail - 10,33,16,0
ICC - Absentee By Mail - 11,31,16,2
ICC - Absentee By Mail - 12,28,21,0
ICC - Absentee By Mail - 13,38,11,1
ICC - Absentee By Mail - 14,26,20,2
ICC - Absentee By Mail - 15,35,28,2
ICC - Absentee By Mail - 16,41,24,1
ICC - Absentee By Mail - 17,35,26,2
ICC - Absentee By Mail - 18,32,26,3
ICC - Absentee By Mail - 19,35,27,1
ICC - Absentee By Mail - 20,44,16,0
ICC - Absentee By Mail - 21,39,24,3
ICC - Absentee By Mail - 22,37,25,2
ICC - Absentee By Mail - 23,47,24,2
ICC - Absentee By Mail - 24,30,37,3
ICC - Absentee By Mail - 25,40,29,0
ICC - Absentee By Mail - 26,33,36,1
ICC - Absentee By Mail - 27,47,22,1
ICC - Absentee By Mail - 28,25,44,0
ICC - Absentee By Mail - 29,28,36,3
ICC - Absentee By Mail - 30,42,27,0
ICC - Absentee By Mail - 31,31,34,1
ICC - Absentee By Mail - 32,32,35,0
ICC - Absentee By Mail - 33,20,48,1
ICC - Absentee By Mail - 34,24,48,1
ICC - Absentee By Mail - 35,36,36,1
ICC - Absentee By Mail - 36,37,32,1
ICC - Absentee By Mail - 37,40,32,0
ICC - Absentee By Mail - 38,41,26,2
ICC - Absentee By Mail - 39,40,25,2
ICC - Absentee By Mail - 40,36,35,0
ICC - Absentee By Mail - 41,49,21,0
ICC - Absentee By Mail - 42,38,29,2
ICC - Absentee By Mail - 43,36,26,0
ICC - Absentee By Mail - 44,42,27,1
ICC - Absentee By Mail - 45,31,34,2
ICC - Absentee By Mail - 46,39,28,2
ICC - Absentee By Mail - 47,30,43,1
ICC - Absentee By Mail - 48,37,34,0
ICC - Absentee By Mail - 49,36,35,0
ICC - Absentee By Mail - 50,30,35,5
ICC - Absentee By Mail - 51,8,59,2
ICC - Absentee By Mail - 52,6,67,1
ICC - Absentee By Mail - 53,25,37,4
ICC - Absentee By Mail - 54,38,30,3
ICC - Absentee By Mail - 55,16,23,1
ICC - Absentee By Mail - 56,13,6,0
ICC - Absentee By Mail - 57,3,8,1
ICC - Absentee By Mail - 58,13,12,0
ED-Expo Center ICP 1 - 0,475,145,27
ED-Raymond ICP 1 - 0,692,115,26
ED-Cannongate ICP 1 - 0,913,154,33
ED-Turin ICP 1 - 0,1199,166,64
ED-Dresden ICP 1 - 0,355,37,14
ED-Grantville ICP 1 - 0,668,207,53
ED-Panther Creek ICP 1 - 0,800,171,39
ED-Greentop ICP 1 - 0,555,200,31
ED-Smokey Road ICP 1 - 0,402,204,28
ED-Senoia ICP 1 - 0,1467,283,85
ED-Moreland ICP 1 - 0,914,120,40
ED-Newnan ICP 1 - 0,341,335,25
ED-Sharpsburg ICP 1 - 0,921,151,43
ED-Fischer Road ICP 1 - 0,851,166,44
ED-Haralson ICP 1 - 0,830,83,29
ED-Welcome ICP 1 - 0,993,146,59
ED-Central ICP 1 - 0,256,394,18
ED-Newnan Centre ICP 1 - 0,590,287,35
ED-Newnan Centre ICP 2 - 0,718,415,47
ED-Newnan Centre ICP 3 - 0,888,516,56
ED-White Oak ICP 1 - 0,657,188,52
ED-Madras ICP 1 - 0,1020,224,60
ED-Madras ICP 2 - 0,903,234,50
ED-Westside ICP 1 - 0,78,150,10
ED-Northside ICP 1 - 0,545,221,33
ED-Coweta Central Library ICP 1 - 0,272,47,24
ED-Pine Road ICP 1 - 0,696,86,41
ED-Thomas Crossroads ICP 1 - 0,390,83,23
ED-Thomas Crossroads ICP 2 - 0,528,124,34
ICC - Absentee By Mail - 59,2,5,0
ICC - Absentee By Mail - 60,6,5,1
ICC - Provisional - 1,4,4,0
ICC - Provisional - 2,5,2,1
