Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 1,25,72,3
Absentee By Mail ICC - 2,38,60,1
Absentee By Mail ICC - 3,29,69,0
Absentee By Mail ICC - 4,31,67,1
Absentee By Mail ICC - 5,34,64,1
Absentee By Mail ICC - 6,36,61,0
Absentee By Mail ICC - 7,30,68,0
Absentee By Mail ICC - 8,56,39,3
Absentee By Mail ICC - 9,36,64,0
Absentee By Mail ICC - 10,37,60,1
Absentee By Mail ICC - 11,45,53,2
Absentee By Mail ICC - 12,39,57,2
Absentee By Mail ICC - 13,46,52,2
Absentee By Mail ICC - 14,47,50,3
Absentee By Mail ICC - 15,11,11,2
Absentee By Mail ICC - 16,54,44,1
Absentee By Mail ICC - 17,14,23,0
Absentee By Mail ICC - 18,9,19,2
AV-Elections Office ICP 1 - 0,4462,3256,170
AV-Elections Office ICP 2 - 0,5171,3209,200
AV-Elections Office ICP 3 - 0,2559,1397,92
AV-Elections Office ICP 4 - 0,287,216,13
ED-Mt. Calvary ICP 1 - 0,38,114,5
ED-Pine Grove ICP 1 - 0,147,64,21
ED-Trinity ICP 1 - 0,192,107,13
ED-Train Depot ICP 1 - 0,644,117,23
ED-Trinity ICP 2 - 0,135,78,13
ED-Papermill ICP 1 - 0,464,114,16
ED-Hahira Community Center ICP 1 - 0,286,41,5
ED-Nazarene ICP 1 - 0,254,112,16
ED-Nazarene ICP 2 - 0,301,134,23
ED-Dasher ICP 1 - 0,562,66,24
ED-Historical Society ICP 1 - 0,379,49,21
ED-Naylor ICP 1 - 0,269,84,9
ED-Lake Park ICP 1 - 0,739,120,45
ED-Rainwater ICP 1 - 0,359,132,18
ED-Rainwater ICP 2 - 0,367,120,16
ED-Rainwater ICP 3 - 0,309,132,22
ED-Rainwater ICP 4 - 0,262,139,18
ED-Rainwater ICP 5 - 0,263,104,19
ED-Mathis ICP 1 - 0,218,84,20
ED-Mathis ICP 2 - 0,215,88,8
ED-Mathis ICP 3 - 0,259,89,17
ED-Mathis ICP 4 - 0,276,138,20
ED-South Lowndes ICP 1 - 0,513,48,22
ED-VSU ICP 1 - 0,4,30,0
ED-Lowndes Civic ICP 2 - 0,231,241,12
ED-Lowndes Civic ICP 3 - 0,207,257,12
ED-Mildred ICP 1 - 0,26,259,5
ED-Jaycee ICP 1 - 0,60,121,4
Provisional ICC - 1,49,46,3
Absentee By Mail ICC - 19,5,9,0
