Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,12,13
ICC-Absentee by Mail - 2,10,14
ICC-Absentee by Mail - 3,13,12
ICC-Absentee by Mail - 4,12,13
ICC-Absentee by Mail - 5,16,9
ICC-Absentee by Mail - 6,16,9
ICC-Absentee by Mail - 7,14,11
ICC-Absentee by Mail - 8,7,7
ICC-Absentee by Mail - 9,14,10
ICC-Absentee by Mail - 10,10,15
ICC-Absentee by Mail - 11,15,10
ICC-Absentee by Mail - 12,0,1
ICC-Absentee by Mail - 13,4,2
ED-Monticello ICP 1 - 0,682,261
AV-Courthouse ICP 1 - 0,1874,718
ED-Martin-Burney ICP 1 - 0,1263,112
ED-Wyatt ICP 1 - 0,605,122
ICC-Provisional - 1,2,0
