Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee By Mail - 9,2,4
ICC-Absentee By Mail - 4,31,18
ICC-Absentee By Mail - 3,29,21
ICC-Absentee By Mail - 10,2,3
ICC-Absentee By Mail - 2,26,22
ICC-Absentee By Mail - 7,4,6
ICC-Absentee By Mail - 5,25,25
ICC-Absentee By Mail - 8,28,22
ICC-Absentee By Mail - 6,19,28
ICC-Absentee By Mail - 1,24,26
AV-Advance Voting Site ICP 1 - 0,1957,846
AV-Advance Voting Site ICP 2 - 0,1933,868
ICC-Absentee By Mail - 11,2,1
ED-Jenkinsburg ICP 1 - 0,427,115
ED-Stark United Methodist ICP 1 - 0,631,50
ED-BCREC ICP 1 - 0,358,238
ED-Towaliga Bapt ICP 1 - 0,537,107
ED-Rock Creek ICP 1 - 0,185,97
ICC-Provisional - 1,2,0
