Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ED-WT Adams ICP 1 - 0,641,166
ED-Brewton ICP 1 - 0,616,111
ED-Smith ICP 1 - 0,575,380
ED-Reedy Springs ICP 1 - 0,409,50
ICC - Absentee by Mail - 16,17,33
ICC - Absentee by Mail - 14,15,35
ICC - Absentee by Mail - 17,24,26
ICC - Absentee by Mail - 9,17,33
ICC - Absentee by Mail - 15,29,21
ICC - Absentee by Mail - 18,2,2
ICC - Absentee by Mail - 13,14,36
ICC - Absentee by Mail - 10,30,20
ICC - Absentee by Mail - 12,18,32
ICC - Absentee by Mail - 11,31,19
ICC - Absentee by Mail - 5,8,42
ICC - Absentee by Mail - 6,8,42
ICC - Absentee by Mail - 19,19,14
ICC - Absentee by Mail - 8,34,16
ICC - Absentee by Mail - 7,24,26
ICC - Absentee by Mail - 20,2,1
ICC - Absentee by Mail - 3,28,22
ICC - Absentee by Mail - 4,18,32
ICC - Absentee by Mail - 1,30,20
ICC - Absentee by Mail - 2,25,25
ED-Rural Fire Station ICP 1 - 0,668,145
ED-Hampton Mill ICP 1 - 0,758,83
ED-Cadwell ICP 1 - 0,365,42
ED-Fire Station 5 ICP 1 - 0,974,229
ED-LCFS 10 ICP 1 - 0,477,183
ED-Burch ICP 1 - 0,190,30
ED-Minter ICP 1 - 0,444,23
AV-Elections Office - ICP 1 - 0,2984,2550
ED-Dudley ICP 1 - 0,556,121
ED-FBD-FLC ICP 1 - 0,680,369
ED-Calhoun Park ICP 1 - 0,285,808
ED-Buckeye ICP 1 - 0,245,144
ED-Calhoun Park ICP 2 - 0,4,5
ICC - Absentee by Mail - 25,4,12
ICC - Absentee by Mail - 24,13,34
ICC - Absentee by Mail - 23,24,26
ICC - Absentee by Mail - 22,29,21
ICC - Absentee by Mail - 21,19,31
ICC - Provisional - 1,2,0
