Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
Absentee By Mail ICC - 9,23,2
Absentee By Mail ICC - 11,14,11
Absentee By Mail ICC - 12,1,1
Absentee By Mail ICC - 10,4,1
Absentee By Mail ICC - 8,21,4
Absentee By Mail ICC - 4,16,9
Absentee By Mail ICC - 3,20,5
Absentee By Mail ICC - 7,14,11
Absentee By Mail ICC - 6,19,6
Absentee By Mail ICC - 5,16,9
Absentee By Mail ICC - 1,22,3
AV-Elections Office ICP 2 - 0,3463,512
ED-Otter Creek-Patterson ICP 2 - 0,642,49
ED-Blackshear ICP 2 - 0,808,81
ED-Blackshear ICP 1 - 0,824,63
Provisional ICC - 1,1,0
Absentee By Mail ICC - 13,21,4
