Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Courthouse ICP 1 - 0,1607,1797
ICC-Absentee By Mail - 1,12,13
ICC-Absentee By Mail - 2,9,16
ICC-Absentee By Mail - 3,7,18
ICC-Absentee By Mail - 4,6,19
ICC-Absentee By Mail - 5,3,22
ICC-Absentee By Mail - 6,12,13
ICC-Absentee By Mail - 7,9,16
ICC-Absentee By Mail - 8,4,21
ICC-Absentee By Mail - 9,6,19
ICC-Absentee By Mail - 10,6,19
ICC-Absentee By Mail - 11,1,24
ICC-Absentee By Mail - 12,8,17
ICC-Absentee By Mail - 13,12,13
ICC-Absentee By Mail - 14,7,18
ICC-Absentee By Mail - 15,2,23
ICC-Absentee By Mail - 16,10,15
ICC-Absentee By Mail - 17,5,20
ICC-Absentee By Mail - 18,9,16
ICC-Absentee By Mail - 19,1,7
ED-Scotts Crossroads ICP 1 - 0,43,40
ED- No Waynesboro ICP 1 - 0,126,293
ED-Greenscut ICP 1 - 0,179,105
ICC-Absentee By Mail - 20,0,1
ED-Munnerlyn ICP 1 - 0,58,20
ED-Gough ICP 1 - 0,54,74
ED-So Waynesboro ICP 1 - 0,387,233
ED-Sardis ICP 1 - 0,227,121
ICC-Absentee By Mail - 21,0,2
ED-Four Points ICP 1 - 0,532,173
ED-St Clair ICP 1 - 0,104,46
ED-Alexander ICP 1 - 0,86,34
ED-Girard ICP 1 - 0,133,108
ED-Keysville ICP 1 - 0,72,86
ED-Midville ICP 1 - 0,77,111
ED-Blakeney ICP 1 - 0,73,65
ED-Vidette ICP 1 - 0,74,52
ED-Telfair ICP 1 - 0,185,85
ICC-Absentee By Mail - 22,0,1
ICC-Provisional - 1,2,2
