Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,26,24
ICC-Absentee by Mail - 2,13,37
ICC-Absentee by Mail - 3,11,37
ICC-Absentee by Mail - 4,13,37
ICC-Absentee by Mail - 5,14,36
ICC-Absentee by Mail - 6,23,27
ICC-Absentee by Mail - 7,18,31
ICC-Absentee by Mail - 8,5,9
ICC-Absentee by Mail - 9,22,28
ICC-Absentee by Mail - 10,17,33
ICC-Absentee by Mail - 11,20,30
ICC-Absentee by Mail - 12,17,16
ICC-Absentee by Mail - 13,0,3
ICC-Absentee by Mail - 14,1,2
AV-Elections Office  ICP 2 - 0,2051,1006
AV-Elections Office  ICP 1 - 0,2045,1012
ED-Middlebrooks  ICP 1 - 0,277,40
ED-Cox  ICP 1 - 0,235,32
ED-Burgays  ICP 1 - 0,754,125
ED-Kelseys  ICP 1 - 0,162,91
ED-Brantleys  ICP 1 - 0,315,57
ED-Culloden  ICP 1 - 0,133,65
ED-Dillards  ICP 1 - 0,230,42
ED-Cabaniss  ICP 1 - 0,191,59
ED-Forsyth  ICP 1 - 0,169,168
ED-Forsyth  ICP 2 - 0,215,147
ED-Evers  ICP 1 - 0,471,102
ED-Proctors  ICP 1 - 0,315,99
ED-Russellville  ICP 1 - 0,171,29
ED-High Falls  ICP 1 - 0,484,64
ED-Bentons  ICP 1 - 0,598,121
ICC-Provisional - 1,2,0
