Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 1,13,11
ICC - Absentee By Mail - 2,22,29
ICC - Absentee By Mail - 3,24,26
ICC - Absentee By Mail - 4,27,23
ICC - Absentee By Mail - 5,18,32
ICC - Absentee By Mail - 6,29,31
ICC - Absentee By Mail - 7,24,26
ICC - Absentee By Mail - 8,14,36
ICC - Absentee By Mail - 9,20,30
ICC - Absentee By Mail - 10,22,28
ICC - Absentee By Mail - 11,23,27
ICC - Absentee By Mail - 12,17,33
ICC - Absentee By Mail - 13,25,25
ICC - Absentee By Mail - 14,28,22
ICC - Absentee By Mail - 15,33,29
ICC - Absentee By Mail - 16,27,23
ICC - Absentee By Mail - 17,28,22
ICC - Absentee By Mail - 18,24,9
ICC - Absentee By Mail - 19,27,23
ICC - Absentee By Mail - 20,22,28
ICC - Absentee By Mail - 21,25,21
ICC - Absentee By Mail - 22,36,29
ICC - Absentee By Mail - 23,19,31
ICC - Absentee By Mail - 24,25,30
ICC - Absentee By Mail - 25,28,22
ICC - Absentee By Mail - 26,23,27
ICC - Absentee By Mail - 27,10,25
ICC - Absentee By Mail - 28,35,38
AV-Powell Park Art Center ICP1 - 0,1389,893
AV-Powell Park Art Center ICP2 - 0,1379,893
AV-Elections Office ICP 1 - 0,2725,1597
AV-Elections Office ICP 2 - 0,2769,1552
AV-Elections Office ICP 3 - 0,2844,1479
ICC - Absentee By Mail - 29,0,1
ED-Hulett-Mars Hill ICP 1 - 0,161,33
ED-Hulett-Mars Hill ICP 2 - 0,545,97
ED-Lakeshore Rec Center ICP 1 - 0,169,124
ED-Center Point ICP 1 - 0,602,60
ED-Bowdon Junction-Mount Holly ICP 1 - 0,369,73
ED-West Carrollton ICP 1 - 0,104,204
ED-West Carrollton ICP 2 - 0,81,174
ED-Oak Grove ICP 1 - 0,503,71
ED-Tabernacle Church ICP 1 - 0,237,101
ED-Burwell-Shilo Methodist ICP 1 - 0,477,71
ED-Burson Center ICP 1 - 0,223,84
ED-Bethany ICP 1 - 0,71,39
ED-Bethany ICP 2 - 0,454,231
ED-Bonner ICP 1 - 0,67,43
ED-Bonner ICP 2 - 0,382,228
ED-Clem ICP 1 - 0,362,81
ED-Clem ICP 2 - 0,464,100
ED-Kansas ICP 1 - 0,510,31
ED-Mt Zion ICP 1 - 0,740,115
ED-Fairfield ICP 1 - 0,618,174
ED-Fairfield ICP 2 - 0,441,115
ED-Sandhill-Midway ICP 1 - 0,489,138
ED-Sandhill-Midway ICP 2 - 0,316,82
ED-Old Camp Church ICP 1 - 0,274,70
ED-Old Camp Church ICP 2 - 0,276,69
ED-V R County South-Civic Center ICP 1 - 0,464,113
ED-Bowdon ICP 1 - 0,504,112
ED-Bowdon ICP 2 - 0,353,81
ED-Tyus ICP 1 - 0,700,56
ED-Temple County ICP 1 - 0,402,77
ED-Temple County ICP 2 - 0,394,84
ED-Whitesburg ICP 1 - 0,342,48
ED-Whitesburg ICP 2 - 0,342,47
ED-Temple City ICP 1 - 0,446,204
ED-Temple City ICP 2 - 0,247,127
ED-Neva Lomason Library-County Admin Bldg ICP 1 - 0,291,174
ED-Roopville ICP 1 - 0,473,42
ED-Roopville ICP 2 - 0,479,71
ED-University of W GA ICP 1 - 0,143,94
ED-University of W GA ICP 2 - 0,80,40
ED-V R City-Powell Park ICP 1 - 0,261,271
ED-V R City-Powell Park ICP 2 - 0,240,289
ED-V R County North-Gold Dust Park ICP 1 - 0,333,165
ED-V R County North-Gold Dust Park ICP 2 - 0,353,131
ICC - Provisional - 1,5,5
ICC - Absentee By Mail - 30,0,1
