Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC Absentee In Person - 1,68,231
ICC Absentee In Person - 2,58,229
ICC Absentee In Person - 3,51,262
ICC Absentee In Person - 4,1,4
ICC Absentee In Person - 5,29,175
ICC Absentee In Person - 6,47,241
ICC Absentee In Person - 7,22,192
ICC Absentee In Person - 8,30,158
ICC Absentee In Person - 9,43,252
ICC Absentee In Person - 10,30,178
ICC Absentee In Person - 11,34,223
ICC Absentee In Person - 12,14,144
ICC Absentee In Person - 13,27,189
ICC Absentee In Person - 14,41,176
ICC-Absentee by Mail - 1,11,39
ICC-Absentee by Mail - 2,8,8
ICC-Absentee by Mail - 3,21,29
ICC-Absentee by Mail - 4,8,42
ICC-Absentee by Mail - 5,19,31
ICC-Absentee by Mail - 6,12,38
ICC-Absentee by Mail - 7,2,18
ICC-Absentee by Mail - 8,4,46
ICC-Absentee by Mail - 9,15,36
ICC-Absentee by Mail - 10,18,32
ICC-Absentee by Mail - 11,10,40
ICC-Absentee by Mail - 12,7,40
ICC-Absentee by Mail - 13,19,31
ICC-Absentee by Mail - 14,16,33
ICC-Absentee by Mail - 15,11,39
ICC-Absentee by Mail - 16,25,25
ICC-Absentee by Mail - 17,18,30
AV-Locust Grove Library  ICP 1 - 0,1974,3099
AV-JP Moseley Rec Center  ICP 1 - 0,2432,3495
AV-Fortson Library  ICP 1 - 0,1957,3974
AV-Elections and Registration  ICP 1 - 0,1625,5589
AV-Elections and Registration  ICP 2 - 0,1596,5636
AV-Fairview Rec Center  ICP 1 - 0,859,4662
AV-Merle Manders Conf Center  ICP 2 - 0,748,3814
ICC-Absentee by Mail - 18,5,5
ICC-Absentee by Mail - 19,20,29
ICC-Absentee by Mail - 20,6,43
ICC-Absentee by Mail - 21,7,42
ICC-Absentee by Mail - 22,15,34
ICC-Absentee by Mail - 23,10,40
ICC-Absentee by Mail - 24,17,32
ICC-Absentee by Mail - 25,12,38
ICC-Absentee by Mail - 26,15,35
ICC-Absentee by Mail - 27,13,37
ICC-Absentee by Mail - 28,10,39
ICC-Absentee by Mail - 29,20,30
ICC-Absentee by Mail - 30,9,41
ED-McMullen  ICP 1 - 0,845,294
ED-Lighthouse  ICP 1 - 0,301,470
ED-Stagecoach  ICP 1 - 0,270,388
ED-North Hampton  ICP 1 - 0,466,809
ED-Lake Dow  ICP 1 - 0,853,538
ED-McDonough Central  ICP 1 - 0,301,429
ED-Shiloh  ICP 1 - 0,174,487
ED-Ellenwood  ICP 1 - 0,80,468
ED-Oakland  ICP 1 - 0,422,512
ED-Unity Grove  ICP 1 - 0,915,329
ICC-Absentee by Mail - 31,16,34
ICC-Absentee by Mail - 32,12,38
ICC-Absentee by Mail - 33,13,35
ED-Hickory Flat  ICP 1 - 0,273,650
ED-Stockbridge East-West  ICP 1 - 0,132,872
ED-McDonough  ICP 1 - 0,195,408
ED-Tussahaw  ICP 1 - 0,942,142
ED-Locust Grove  ICP 1 - 0,429,972
ED-Mount Carmel  ICP 1 - 0,219,911
ED-Westside  ICP 1 - 0,112,764
ED-Pates Creek  ICP 1 - 0,388,596
ED-Mt Bethel  ICP 1 - 0,976,348
ED-Cotton Indian  ICP 1 - 0,280,442
ED-Timberridge  ICP 1 - 0,456,310
ICC-Absentee by Mail - 34,10,39
ED-Lowes  ICP 1 - 0,600,1312
ED-Dutchtown  ICP 1 - 0,236,298
ED-Swan Lake  ICP 1 - 0,368,328
ED-Grove Park  ICP 1 - 0,506,462
ED-Wesley Lakes  ICP 1 - 0,202,889
ICC-Absentee by Mail - 35,10,40
ICC-Absentee by Mail - 36,16,33
ICC-Absentee by Mail - 37,15,35
ED-Lake Haven  ICP 1 - 0,514,427
ICC-Absentee by Mail - 38,21,29
ICC-Absentee by Mail - 39,21,29
ICC-Absentee by Mail - 40,10,40
ICC-Absentee by Mail - 41,15,34
ICC-Absentee by Mail - 42,20,29
ICC-Absentee by Mail - 43,21,27
ED-South Hampton  ICP 1 - 0,504,582
ICC-Absentee by Mail - 44,17,32
ICC-Absentee by Mail - 45,16,32
ICC-Absentee by Mail - 46,10,38
ICC-Absentee by Mail - 47,8,40
ICC-Absentee by Mail - 48,9,34
ICC-Absentee by Mail - 49,19,27
ICC-Absentee by Mail - 50,14,31
ICC-Absentee by Mail - 51,13,22
ED-Kelleytown  ICP 1 - 0,644,390
ED-Sandy Ridge  ICP 1 - 0,1155,315
ED-Pleasant Grove  ICP 1 - 0,380,425
ED-Red Oak  ICP 1 - 0,187,992
ED-Stockbridge Central  ICP 1 - 0,177,538
ED-Austin Road  ICP 1 - 0,161,360
ICC-Absentee by Mail - 52,22,28
ICC-Absentee by Mail - 53,9,41
ICC-Absentee by Mail - 54,18,31
ICC-Absentee by Mail - 55,7,42
ICC-Absentee by Mail - 56,18,29
ICC-Absentee by Mail - 57,14,36
ICC-Absentee by Mail - 58,15,35
ICC-Absentee by Mail - 59,18,32
ICC-Absentee by Mail - 60,6,15
ICC-Absentee by Mail - 61,9,39
ICC-Absentee by Mail - 62,16,31
ICC-Absentee by Mail - 63,20,76
ED-East Lake  ICP 1 - 0,551,278
ICC-Absentee by Mail - 64,1,6
ICC-Absentee by Mail - 65,2,6
ICC-Absentee by Mail - 66,15,32
ICC-Absentee by Mail - 67,6,41
ICC-Absentee by Mail - 68,12,37
ICC-Absentee by Mail - 69,7,40
ICC-Absentee by Mail - 70,2,47
ICC-Absentee by Mail - 71,17,30
ICC-Election Day - 1,43,257
ICC-Election Day - 2,31,285
ICC-Absentee by Mail - 72,3,16
ICC-Provisional - 1,14,27
ICC-Absentee by Mail - 73,2,2
ICC-Absentee by Mail - 74,0,1
ED-Flippen  ICP 1 - 0,178,563
ICC-Election Day - 3,4,5
