Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
Absentee By Mail ICC - 1,12,13
Absentee By Mail ICC - 2,8,17
Absentee By Mail ICC - 3,6,10
Absentee By Mail ICC - 4,11,14
Absentee By Mail ICC - 5,10,15
Absentee By Mail ICC - 6,5,11
Absentee By Mail ICC - 7,10,15
Absentee By Mail ICC - 8,11,13
Absentee By Mail ICC - 9,5,19
Absentee By Mail ICC - 10,2,5
Absentee By Mail ICC - 11,10,18
Absentee By Mail ICC - 12,13,11
Absentee By Mail ICC - 13,4,6
Absentee By Mail ICC - 14,15,9
Absentee By Mail ICC - 15,11,13
Absentee By Mail ICC - 16,7,4
Absentee By Mail ICC - 17,4,8
Absentee By Mail ICC - 18,8,16
Absentee By Mail ICC - 19,1,5
Absentee By Mail ICC - 20,7,13
Absentee By Mail ICC - 21,5,3
Absentee By Mail ICC - 22,16,7
Absentee By Mail ICC - 23,6,2
Absentee By Mail ICC - 24,1,6
Absentee By Mail ICC - 25,6,8
Absentee By Mail ICC - 26,0,3
AV-Elections Office ICP 1 - 0,2217,1709
ED-Kendrick ICP 1 - 0,161,34
ED-Kirbo Center ICP 1 - 0,455,158
ED-Bainbridge-Fairgrounds ICP 1 - 0,352,259
ED-Recovery ICP 1 - 0,219,28
ED-Bainbridge-Coliseum ICP 1 - 0,173,161
ED-West Bainbridge ICP 1 - 0,228,115
ED-Attapulgus ICP 1 - 0,179,245
ED-Brinson ICP 2 - 0,242,38
ED-Mt. Pleasant ICP 1 - 0,187,16
ED-Climax ICP 1 - 0,265,52
Provisional ICC - 1,8,9
