Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee by Mail - 1,7,18
ICC - Absentee by Mail - 2,10,15
ICC - Absentee by Mail - 3,12,13
ICC - Absentee by Mail - 4,5,20
ICC - Absentee by Mail - 5,11,14
ICC - Absentee by Mail - 6,14,11
ICC - Absentee by Mail - 7,12,13
ICC - Absentee by Mail - 8,10,15
ICC - Absentee by Mail - 9,12,13
ICC - Absentee by Mail - 10,6,19
ICC - Absentee by Mail - 11,11,14
ICC - Absentee by Mail - 12,16,9
ICC - Absentee by Mail - 13,7,18
ICC - Absentee by Mail - 14,3,0
AV - Registrars ICP 1 - 0,1116,621
AV - Registrars ICP 2 - 0,870,428
ICC - Absentee by Mail - 15,6,2
ED - Elberton ICP 1 - 0,330,260
ED - Pike ICP 1 - 0,338,73
ED - Longstreet ICP 1 - 0,150,34
ED - Wyche ICP 1 - 0,216,52
ED - Eliam ICP 1 - 0,203,39
ED - Webbsboro ICP 1 - 0,113,38
ED - Gaines ICP 1 - 0,206,25
ED - Petersburg ICP 1 - 0,140,15
ED - Centerville ICP 1 - 0,259,43
ED - Moss - Ruckersville ICP 1 - 0,103,29
ED - Goshen ICP 1 - 0,526,87
ICC - Provisional - 1,1,6
