Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
Absentee By Mail ICC - 1,7,17
Absentee By Mail ICC - 2,8,17
Absentee By Mail ICC - 3,6,18
Absentee By Mail ICC - 4,9,16
Absentee By Mail ICC - 5,5,19
Absentee By Mail ICC - 6,7,18
Absentee By Mail ICC - 7,5,20
Absentee By Mail ICC - 8,5,21
Absentee By Mail ICC - 9,3,22
Absentee By Mail ICC - 10,5,9
AV-Elections Office ICP 1 - 0,1226,974
ED-Nankin ICP 1 - 0,221,17
ED-Morven ICP 1 - 0,423,131
ED-Barwick ICP 1 - 0,116,22
ED-Dixie ICP 1 - 0,167,104
ED-Quitman ICP 1 - 0,275,258
ED-Pavo ICP 1 - 0,188,59
ED-Briggs ICP 1 - 0,531,99
Absentee By Mail ICC - 11,1,2
Provisional ICC - 1,1,1
