Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,34,66
ICC-Absentee by Mail - 2,27,73
ICC-Absentee by Mail - 3,24,76
ICC-Absentee by Mail - 4,31,68
ICC-Absentee by Mail - 5,31,76
ICC-Absentee by Mail - 6,38,62
ICC-Absentee by Mail - 7,29,70
ICC-Absentee by Mail - 8,37,63
ICC-Absentee by Mail - 9,33,67
ICC-Absentee by Mail - 10,39,61
ICC-Absentee by Mail - 11,34,66
ICC-Absentee by Mail - 12,24,75
ICC-Absentee by Mail - 13,23,77
ICC-Absentee by Mail - 14,51,56
ICC-Absentee by Mail - 15,26,74
ICC-Absentee by Mail - 16,23,77
ICC-Absentee by Mail - 17,16,84
ICC-Absentee by Mail - 18,31,69
ICC-Absentee by Mail - 19,41,59
ICC-Absentee by Mail - 20,17,83
ICC-Absentee by Mail - 21,7,20
ICC-Absentee by Mail - 22,19,57
ICC-Absentee by Mail - 23,35,66
AV-Prospect UMC  ICP 2 - 0,956,2165
AV-Prospect UMC  ICP 1 - 0,969,2259
AV-Town  ICP 1 - 0,1038,3233
AV-Town  ICP 2 - 0,1044,3306
ICC-Absentee by Mail - 24,22,62
ICC-Absentee by Mail - 25,43,57
ICC-Absentee by Mail - 26,29,69
ICC-Absentee by Mail - 27,5,16
ICC-Absentee by Mail - 28,1,22
ED-Mansfield  ICP 1 - 0,739,72
ED-Newborn  ICP 1 - 0,358,80
ED-Brewers  ICP 1 - 0,1084,301
ED-Oxford  ICP 1 - 0,589,278
ED-Rocky Plains  ICP 2 - 0,277,188
ED-Rocky Plains  ICP 1 - 0,306,209
ED-Fairview  ICP 1 - 0,65,514
ED-Covington Mills  ICP 1 - 0,411,406
ED-Livingston  ICP 1 - 0,238,668
ED-Hub  ICP 1 - 0,949,156
ED-Gum Creek  ICP 1 - 0,994,317
ED-Crowell  ICP 2 - 0,87,613
ED-Crowell  ICP 1 - 0,14,119
ED-Stansells  ICP 2 - 0,112,383
ED-Stansells  ICP 1 - 0,113,374
ED-Brick Store  ICP 1 - 0,840,263
ED-City Pond  ICP 1 - 0,177,225
ED-Cedar Shoals  ICP 1 - 0,275,337
ED-Leguinn  ICP 1 - 0,709,181
ED-Buck Creek  ICP 1 - 0,270,304
ED-Buck Creek  ICP 2 - 0,170,215
ED-Alcovy  ICP 1 - 0,360,233
ED-Downs  ICP 1 - 0,361,394
ED-Downs  ICP 2 - 0,283,271
ED-Beaverdam  ICP 1 - 0,63,307
ED-Beaverdam  ICP 2 - 0,165,610
ED-Town  ICP 2 - 0,100,270
ED-Almon  ICP 1 - 0,257,795
ICC-Election Day - 1,116,72
ICC-Election Day - 2,142,73
ICC-Election Day - 3,102,88
ICC-Election Day - 4,22,39
ICC-Election Day - 5,66,188
ICC-Provisional - 1,0,3
