Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Election Day - 1,24,1
ICC-Election Day - 2,22,3
ICC-Election Day - 3,25,0
ICC-Election Day - 4,24,1
ICC-Election Day - 5,21,4
ICC-Election Day - 6,25,0
ICC-Election Day - 7,23,2
ICC-Election Day - 8,25,1
ICC - Absentee by Mail - 1,40,7
ICC - Absentee by Mail - 2,34,16
ICC - Absentee by Mail - 3,27,23
ICC - Absentee by Mail - 4,30,20
ICC - Absentee by Mail - 5,44,6
ICC - Absentee by Mail - 6,35,15
ICC - Absentee by Mail - 7,1,2
ICC - Absentee by Mail - 8,21,7
ICC - Absentee by Mail - 9,8,3
AV - Elections Office ICP 1 - 0,2943,537
ED - Southwest Franklin ICP 1 - 0,688,32
ED - Lavonia ICP 1 - 0,508,119
ED - Carnesville ICP 1 - 0,579,53
ED - Canon ICP 1 - 0,360,28
ED - Royston ICP 1 - 0,444,85
ED - West Franklin ICP 2 - 0,252,18
ED - Northeast Franklin ICP 1 - 0,722,93
ICC - Provisional - 1,1,1
