Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,9,10
ICC-Absentee by Mail - 2,17,8
ICC-Absentee by Mail - 3,14,10
ICC-Absentee by Mail - 4,17,8
ICC-Absentee by Mail - 5,20,4
ICC-Absentee by Mail - 6,12,13
ICC-Absentee by Mail - 7,10,15
ICC-Absentee by Mail - 8,11,14
ICC-Absentee by Mail - 9,18,7
ICC-Absentee by Mail - 10,14,11
ICC-Absentee by Mail - 11,8,17
ICC-Absentee by Mail - 12,2,0
ICC-Absentee by Mail - 13,16,9
ICC-Absentee by Mail - 14,11,4
ICC-Absentee by Mail - 15,12,13
ICC-Absentee by Mail - 16,10,15
ICC-Absentee by Mail - 17,1,0
ICC-Absentee by Mail - 18,0,2
AV-Elections Office ICP 1 - 0,3323,603
ED-Concord ICP 1 - 0,475,76
ED-Lifsey Springs ICP 1 - 0,346,28
ED-Zebulon ICP 1 - 0,393,63
ED-Hollonville ICP 1 - 0,593,41
ED-Second District ICP 1 - 0,643,45
ED-Williamson ICP 1 - 0,561,59
ED-Meansville ICP 1 - 0,438,40
ED-Molena ICP 1 - 0,479,69
ICC-Provisional - 1,5,1
