Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee by Mail - 1,22,26
ICC - Absentee by Mail - 2,24,26
ICC - Absentee by Mail - 3,0,2
ICC - Absentee by Mail - 4,21,29
ICC - Absentee by Mail - 6,0,2
ICC - Absentee by Mail - 5,22,25
ICC - Absentee by Mail - 7,26,24
ICC - Absentee by Mail - 8,20,30
ICC - Absentee by Mail - 9,31,19
ICC - Absentee by Mail - 10,31,19
ICC - Absentee by Mail - 11,32,18
ICC - Absentee by Mail - 12,8,1
ICC - Absentee by Mail - 13,0,1
AV-Elections Office - ICP 1 - 0,2778,969
ED-Lyons ICP 1 - 0,513,142
ED-Newbranch ICP 1 - 0,437,30
ED-Cedar Crossing ICP 1 - 0,467,23
ED-STIALC ICP 1 - 0,501,251
ED-VPD ICP 1 - 0,843,333
ICC - Provisional - 1,3,1
ICC - Absentee by Mail - 14,1,1
