Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office ICP 1 - 0,4074,2132
Absentee By Mail ICC - 1,59,42
Absentee By Mail ICC - 2,21,79
Absentee By Mail ICC - 3,50,76
Absentee By Mail ICC - 4,34,33
Absentee By Mail ICC - 5,0,1
ED-Tifton Lodge ICP 1 - 0,392,164
ED-Chula ICP 1 - 0,434,44
ED-Brookfield ICP 1 - 0,402,58
ED-Tifton NW ICP 1 - 0,456,172
Absentee By Mail ICC - 6,1,4
ED-Eldorado ICP 1 - 0,377,28
ED-TyTy ICP 1 - 0,323,84
ED-Omega ICP 1 - 0,255,48
ED-Tifton NE ICP 1 - 0,306,173
ED-Brighton ICP 1 - 0,559,68
ED-Mott-Litman Gym ICP 1 - 0,51,323
ED-Docia ICP 1 - 0,344,25
ED-Tifton South ICP 1 - 0,104,240
Provisional ICC - 1,1,2
