Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
Absentee By Mail ICC - 1,30,70
Absentee By Mail ICC - 2,26,73
Absentee By Mail ICC - 3,36,63
Absentee By Mail ICC - 4,32,68
Absentee By Mail ICC - 5,36,64
Absentee By Mail ICC - 6,42,58
Absentee By Mail ICC - 7,39,61
Absentee By Mail ICC - 8,33,67
Absentee By Mail ICC - 9,9,28
Absentee By Mail ICC - 10,43,50
AV-Elections Office ICP 1 - 0,4197,2763
AV-Elections Office ICP 2 - 0,800,315
Absentee By Mail ICC - 11,0,5
ED-Tarboro ICP 1 - 0,310,68
ED-Waverly ICP 1 - 0,490,151
ED-Woodbine ICP 1 - 0,458,173
ED-Harbor Worship Center ICP 1 - 0,564,115
ED-Harriet's Bluff ICP 1 - 0,522,94
ED-North Kingsland ICP 1 - 0,235,194
ED-Kingsland ICP 1 - 0,230,109
ED-East Kingsland ICP 1 - 0,833,313
ED-North St. Marys ICP 1 - 0,177,108
ED-Agape Christian Fellowship ICP 1 - 0,835,353
ED-South St. Marys ICP 1 - 0,320,126
ED-West St. Marys ICP 1 - 0,526,111
Absentee By Mail ICC - 12,0,3
Provisional ICC - 1,0,2
