Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee By Mail 1 - 1,0,70
ICC-Absentee By Mail 1 - 2,17,68
ICC-Absentee By Mail 1 - 3,31,63
ICC-Absentee By Mail 1 - 4,22,72
ICC-Absentee By Mail 1 - 5,3,39
ICC-Absentee By Mail 1 - 6,0,24
ICC-Absentee By Mail 1 - 7,3,24
ICC-Absentee By Mail 1 - 8,4,37
ICC-Absentee By Mail 1 - 9,26,67
ICC-Absentee By Mail 1 - 10,12,59
ICC-Absentee By Mail 1 - 11,1,18
ICC-Absentee By Mail 1 - 12,7,70
ICC-Absentee By Mail 1 - 13,1,1
ICC-Absentee By Mail 1 - 14,0,6
ICC-Absentee By Mail 1 - 15,1,5
ICC-Absentee By Mail 1 - 16,27,61
ICC-Absentee By Mail 1 - 17,20,63
ICC-Absentee By Mail 1 - 18,15,21
ICC-Absentee By Mail 1 - 19,0,16
ICC-Absentee By Mail 1 - 20,4,48
ICC-Absentee By Mail 2 - 1,0,9
ICC-Absentee By Mail 2 - 2,15,68
ICC-Absentee By Mail 2 - 3,15,58
ICC-Absentee By Mail 2 - 4,17,53
ICC-Absentee By Mail 2 - 5,22,42
ICC-Absentee By Mail 2 - 6,13,35
ICC-Absentee By Mail 2 - 7,1,15
ICC-Absentee By Mail 2 - 8,4,17
ICC-Absentee By Mail 2 - 9,30,33
ICC-Absentee By Mail 2 - 10,9,15
ICC-Absentee By Mail 2 - 11,4,43
ICC-Absentee By Mail 2 - 12,14,89
ICC-Absentee By Mail 2 - 13,11,72
ICC-Absentee By Mail 2 - 14,31,43
ICC-Absentee By Mail 2 - 15,4,66
ICC-Absentee By Mail 1 - 21,19,38
ICC-Absentee By Mail 2 - 17,2,9
ICC-Absentee By Mail 2 - 18,2,13
ICC-Absentee By Mail 2 - 19,0,11
ICC-Absentee By Mail 2 - 20,31,53
ICC-Absentee By Mail 1 - 22,25,50
ICC-Absentee By Mail 1 - 23,4,6
ICC-Absentee By Mail 1 - 24,29,70
ICC-Absentee By Mail 1 - 25,14,85
ICC-Absentee By Mail 1 - 26,28,53
ICC-Absentee By Mail 1 - 27,4,48
ICC-Absentee By Mail 1 - 28,18,71
ICC-Absentee By Mail 1 - 29,8,65
ICC-Absentee By Mail 1 - 30,21,55
ICC-Absentee By Mail 1 - 31,8,9
ICC-Absentee By Mail 1 - 32,1,19
ICC-Absentee By Mail 1 - 33,21,47
ICC-Absentee By Mail 1 - 34,35,57
ICC-Absentee By Mail 1 - 35,7,73
ICC-Absentee By Mail 1 - 36,17,81
ICC-Absentee By Mail 1 - 37,8,61
ICC-Absentee By Mail 1 - 38,2,35
ICC-Absentee By Mail 2 - 21,18,36
ICC-Absentee By Mail 2 - 22,23,43
ICC-Absentee By Mail 1 - 39,35,64
ICC-Absentee By Mail 2 - 23,13,37
ICC-Absentee By Mail 2 - 24,18,28
ICC-Absentee By Mail 1 - 40,3,4
ICC-Absentee By Mail 2 - 25,10,19
ICC-Absentee By Mail 1 - 41,4,17
ICC-Absentee By Mail 1 - 42,10,21
ICC-Absentee By Mail 2 - 26,1,13
ICC-Absentee By Mail 1 - 43,15,39
ICC-Absentee By Mail 1 - 44,1,9
ICC-Absentee By Mail 1 - 45,5,29
ICC-Absentee By Mail 1 - 46,0,3
ICC-Absentee By Mail 1 - 47,0,7
ICC-Absentee By Mail 1 - 48,9,87
ICC-Absentee By Mail 1 - 49,49,41
ICC-Absentee By Mail 1 - 50,2,9
ICC-Absentee By Mail 1 - 51,33,60
ICC-Absentee By Mail 1 - 52,13,73
ICC-Absentee By Mail 1 - 53,7,85
ICC-Absentee By Mail 1 - 54,0,5
ICC-Absentee By Mail 1 - 55,2,10
ICC-Absentee By Mail 1 - 56,37,60
ICC-Absentee By Mail 1 - 57,24,43
ICC-Absentee By Mail 1 - 58,7,47
ICC-Absentee By Mail 1 - 59,27,74
ICC-Absentee By Mail 1 - 60,21,30
ICC-Absentee By Mail 1 - 61,1,51
ICC-Absentee By Mail 1 - 62,15,78
ICC-Absentee By Mail 1 - 63,5,37
ICC-Absentee By Mail 1 - 64,6,62
ICC-Absentee By Mail 1 - 65,45,42
ICC-Absentee By Mail 1 - 66,27,24
