Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC- BOE Advanced Voting 1 - 1,157,352
ICC- BOE Advanced Voting 1 - 3,181,362
ICC- BOE Advanced Voting 1 - 2,185,343
ICC- BOE Advanced Voting 1 - 4,166,363
ICC- BOE Advanced Voting 1 - 5,186,494
ICC Absentee By Mail - 8,23,27
ICC Absentee By Mail - 5,26,24
ICC Absentee By Mail - 6,24,26
ICC Absentee By Mail - 7,27,23
ICC Absentee By Mail - 9,24,26
ICC Absentee By Mail - 3,30,19
ICC Absentee By Mail - 4,23,27
ICC Absentee By Mail - 26,19,31
ICC Absentee By Mail - 25,24,26
ICC Absentee By Mail - 24,7,43
ICC Absentee By Mail - 23,5,45
ICC Absentee By Mail - 22,22,28
ICC Absentee By Mail - 20,5,4
ICC Absentee By Mail - 21,23,27
ICC Absentee By Mail - 2,31,19
ICC Absentee By Mail - 19,7,43
ICC Absentee By Mail - 18,11,39
ICC Absentee By Mail - 17,19,29
ICC Absentee By Mail - 16,9,41
ICC Absentee By Mail - 15,24,26
ICC Absentee By Mail - 14,12,38
ICC Absentee By Mail - 13,9,33
ICC Absentee By Mail - 12,24,28
ICC Absentee By Mail - 11,23,27
ICC Absentee By Mail - 10,27,23
ICC Absentee By Mail - 1,19,31
ICC Absentee By Mail - 27,24,26
ICC Absentee By Mail - 29,20,30
ICC Absentee By Mail - 30,21,29
ICC Absentee By Mail - 31,16,34
ICC Absentee By Mail - 28,20,30
ICC Absentee By Mail - 32,11,35
AV-Ballard ICP 1 - 0,3670,1633
AV-Fire Station 2 ICP 1 - 0,3754,1948
AV-Office Park Bldg ICP 2 - 0,591,1075
Absentee Central ICP 1 - 0,116,116
ED-ARCO ICP 1 - 0,61,90
ED-HCP ICP 1 - 0,249,270
ED-CPM ICP 1 - 0,159,207
ED-BAL ICP 1 - 0,341,151
ED-UPP ICP 1 - 0,40,287
ED-SES ICP 1 - 0,865,162
ED-COG ICP 1 - 0,568,227
ED-THE ICP 1 - 0,211,202
ED-GICCA ICP 1 - 0,518,153
ED-SSSI ICP 1 - 0,702,222
ED-CSSI ICP 1 - 0,1130,346
ED-NGLY ICP 1 - 0,636,159
ED-BLY ICP 1 - 0,590,89
ED-NSSI ICP 1 - 0,992,288
ED-NSB ICP 1 - 0,272,294
ED-JI ICP 1 - 0,209,156
ED-SEB ICP 1 - 0,334,114
ED-MAR ICP 1 - 0,605,202
ED-BRK ICP 1 - 0,789,168
Provisonal Central ICP 1 - 0,14,13
