Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office ICP 2 - 0,1325,508
AV-Elections Office ICP 1 - 0,2210,1144
ICC-Absentee by Mail - 1,32,29
ICC-Absentee by Mail - 2,45,43
ICC-Absentee by Mail - 3,20,30
ICC-Absentee by Mail - 4,22,28
ICC-Absentee by Mail - 5,34,33
ICC-Absentee by Mail - 6,27,34
ICC-Absentee by Mail - 7,5,3
ED-Rec Dept ICP 1 - 0,179,271
ED-DFACS ICP 1 - 0,543,118
ED-Buckhead ICP 1 - 0,813,125
ED-Gibbs ICP 1 - 0,797,152
ED-Centennial ICP 1 - 0,793,131
ICC-Absentee by Mail - 8,1,2
ICC-Provisional - 1,5,0
