Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 1,34,16
ICC - Absentee By Mail - 7,25,25
ICC - Absentee By Mail - 6,31,19
ICC - Absentee By Mail - 4,30,21
ICC - Absentee By Mail - 5,33,17
ICC - Absentee By Mail - 9,33,17
ICC - Absentee By Mail - 14,3,1
ICC - Absentee By Mail - 13,23,26
ICC - Absentee By Mail - 12,25,25
ICC - Absentee By Mail - 11,33,17
ICC - Absentee By Mail - 10,12,38
ICC - Absentee By Mail - 2,41,9
ICC - Absentee By Mail - 3,16,34
ICC - Absentee By Mail - 8,31,19
ICC - Absentee By Mail - 17,34,16
ICC - Absentee By Mail - 18,28,22
ICC - Absentee By Mail - 15,19,31
ICC - Absentee By Mail - 16,33,17
AV-Courthouse ICP 1 - 0,2744,1208
AV-Courthouse ICP 2 - 0,2661,1289
ED-3A ICP 1 - 0,394,191
ED-1A ICP 1 - 0,170,180
ICC - Absentee By Mail - 20,2,1
ICC - Absentee By Mail - 21,5,8
ICC - Absentee By Mail - 19,28,15
ED-5A ICP 1 - 0,108,193
ED-DG ICP 1 - 0,703,237
ED-ES ICP 1 - 0,289,97
ED-AN ICP 1 - 0,262,178
ED-2A ICP 1 - 0,509,192
ED-VA ICP 1 - 0,1393,243
ED-6A ICP 1 - 0,77,160
ED-UT ICP 1 - 0,411,55
ED-NI ICP 1 - 0,749,101
ED-MC ICP 1 - 0,589,64
ED-GL ICP 1 - 0,480,165
ED-FI ICP 1 - 0,442,102
ED-TR ICP 1 - 0,521,54
ED-4A ICP 1 - 0,409,192
ED-TI ICP 1 - 0,225,28
ED-LT ICP 1 - 0,414,37
ED-CO ICP 1 - 0,503,79
ED-CA ICP 1 - 0,541,86
ED-PG ICP 1 - 0,945,253
ED-CO ICP 2 - 0,2,0
ED-TH ICP 1 - 0,949,158
ED-WS ICP 1 - 0,707,119
ICC - Absentee By Mail - 23,0,2
ICC - Absentee By Mail - 22,1,0
ICC - Provisional - 1,9,4
